doi,title,year,venue,is_oa,pdf_url,download_status
10.4324/9780203402825-39,Cultural tourism and urban regeneration,2003,Issues in Cultural Tourism Studies,False,,pending
10.4324/9780203120958-37,Souvenirs and cultural tourism,2013,The Routledge Handbook of Cultural Tourism,False,,pending
10.4337/9781789905441.00008,The changing contexts of cultural tourism,2021,Rethinking Cultural Tourism,False,,pending
10.21608/jaauth.2007.68515,Empowering women through ICT in Tourism,2007,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_68515_7988e5471b3995d7b349be4bac84a63a.pdf,skip:blocked_host
10.4324/9780203402825-17,"Cultural tourism, interpretation and representation",2003,Issues in Cultural Tourism Studies,False,,pending
10.4324/9781315767697-17,Ethnic and minority cultural tourism,2015,Issues in Cultural Tourism Studies,False,,pending
10.4324/9780203402825-10,The impacts of cultural tourism,2003,Issues in Cultural Tourism Studies,False,,pending
10.4337/9781789905441.00009,The consequences of cultural tourism practices,2021,Rethinking Cultural Tourism,False,,pending
10.4324/9781315258720-29,From Cultural Tourism to Cultural E-Tourism: Issues and Challenges to Economic Valuation in the Information Era,2016,Cultural Tourism and Sustainable Local Development,False,,pending
10.4324/9781315767697-14,The politics of cultural tourism,2015,Issues in Cultural Tourism Studies,False,,pending
10.1016/s0261-5177(03)00138-9,Cultural tourism: the partnership between tourism and cultural heritage management,2004,Tourism Management,False,,pending
10.21608/jaauth.2020.27638.1006,The Politicisation of Early Egyptian Tourism,2020,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_95087_7150c2f712aea36dfc05c7e1f5ed01e6.pdf,skip:blocked_host
10.21608/jaauth.2023.187218.1418,THE IMPORTANCE OF APPLYING EQUESTRIAN TOURISM TO DEVELOP SPORT TOURISM INDUSTRY IN EGYPT,1999,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_292368_2eda2928d15103b2376b11b762c04cb8.pdf,skip:blocked_host
10.4324/9780203869857-20,The future of cultural tourism,2009,Issues in Cultural Tourism Studies,False,,pending
10.4324/9780080455471-24,Intelligent information interactions for cultural tourism destinations,2006,International Cultural Tourism,False,,pending
10.4324/9780203402825-16,Cultural tourism development in Scandinavia,2003,Issues in Cultural Tourism Studies,False,,pending
10.21608/jaauth.2017.50042,Is Islam with or against Tourism? Halal Tourism Perception; Definition and Requirements,2017,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_50042_d9b78ee64075f6372bcc10fbb19d9d23.pdf,skip:blocked_host
10.21608/jaauth.2013.148148,The development of slow tourism as a new pattern of Tourism: A case study of tourism companies in Alexandria,2013,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_148148_42f0c6b5c32817571b9ef7de14799339.pdf,skip:blocked_host
10.5772/62661,Interaction between Cultural/Creative Tourism and Tourism/Cultural Heritage Industries,2016,Tourism - From Empirical Research Towards Practical Application,True,https://www.intechopen.com/citation-pdf-url/50292,ok
10.1007/978-3-319-01669-6_799-1,United Arab Emirates Tourism,2023,Encyclopedia of Tourism,False,,pending
10.4324/9780080455471-7,Heritage and cultural tourism: a marketing-focused approach,2006,International Cultural Tourism,False,,pending
10.4324/9780203869857-16,"The arts, festivals and cultural tourism",2009,Issues in Cultural Tourism Studies,False,,pending
10.4324/9781315767697-20,The growth of experiential cultural tourism,2015,Issues in Cultural Tourism Studies,False,,pending
10.1556/9789634547983.1,Cultural and creative tourism,2022,"Cultural, creative and culinary tourism",False,,pending
10.4324/9780203869857-13,The politics of global cultural tourism,2009,Issues in Cultural Tourism Studies,False,,pending
10.4324/9780367201777-1,"Cultural sustainability, tourism, and development",2021,"Cultural Sustainability, Tourism and Development",False,,pending
10.2307/jj.22730550.7,CULTURAL HERITAGE AND TOURISM,2020,Cultural Heritage and Tourism,True,https://d-nb.info/1226243924/04,ok
10.4324/9780203120958-36,"Tourism, anthropology and cultural conﬁguration",2013,The Routledge Handbook of Cultural Tourism,False,,pending
10.4324/9780203402825-6,A framework for cultural tourism studies,2003,Issues in Cultural Tourism Studies,False,,pending
10.4324/9780203402825-13,European cultural tourism: integration and identity,2003,Issues in Cultural Tourism Studies,False,,pending
10.21608/jaauth.2021.63956.1138,Domestic Tourism challenges: Tourist misbehavior,2021,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_154209_39a0a6fe8757d9f81c010bf6b5a45f4a.pdf,skip:blocked_host
10.4337/9781789905441.00006,Cultural tourism as a dynamic social practice,2021,Rethinking Cultural Tourism,True,https://www.elgaronline.com/downloadpdf/9781789905434.00006.pdf,ok
10.4324/9781315767697-12,Demand and motivation for cultural tourism,2015,Issues in Cultural Tourism Studies,False,,pending
10.21608/jaauth.2007.68510,The Role of Heritage Tourism in developing tourism demand in Alexandria : Case Study - The House of Sayed Darwish in Kom Al-Dikka Heritage Area,2007,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_68510_8824f433c89df09178847293465f672d.pdf,skip:blocked_host
10.1080/17438730903469813,Usage of the concept of culture and heritage in the United Arab Emirates – an analysis of Sharjah heritage area,2010,Journal of Heritage Tourism,False,,pending
10.21608/ijhth.2019.35104,Travel Information Sources among United Arab Emirates Travellers,2019,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_35104_08a5f7c7d32964023daf96c084326e1a.pdf,skip:blocked_host
10.21608/ijhth.2019.35109,Denominations of the Egyptian God Ha,2019,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_35109_5591fda83dc4bf88f1cb31940cec0bb6.pdf,skip:blocked_host
10.21608/ijhth.2021.204192,Arab Tourist Behavior in the Egyptian Tourist Destination,2021,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_204192_869dfe6c849a3b7872db21e54e32daa4.pdf,skip:blocked_host
10.4324/9780429203916-17,Experiential heritage tourism designing in the United Arab Emirates,2020,The Routledge Handbook of Tourism Experience Management and Marketing,False,,pending
10.1080/1743873x.2019.1632319,Exploring Arab and Western visitors’ interpretive experiences at an Omani heritage site: does one size fit all?,2019,Journal of Heritage Tourism,False,,pending
10.1080/1743873x.2020.1719117,"Determinants of theatre, dance, and art museum attendance in the United Arab Emirates",2020,Journal of Heritage Tourism,False,,pending
10.21608/jaauth.2015.67444,Virtual Reality: A Technological Tool for Preserving Built Heritage,2015,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_67444_8d739f731f27040894980a364c8b05f7.pdf,skip:blocked_host
10.21608/jaauth.2014.57677,Natural factors affecting some archaeological heritage sites in Egypt,2014,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_57677_91f53a0898b221b06cbe92d905a72c8f.pdf,skip:blocked_host
10.21608/jaauth.2024.341523.1636,The TAPLINE as a Model for Developing Industrial Heritage Tourism in Saudi Arabia,2024,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_399786_19e7a3befe7fb0f3b1c3ff0b3242a609.pdf,skip:blocked_host
10.21608/ijhth.2025.355957.1060,Egyptian Anthroponomy based on ImA: A New Survey,2024,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_413158_f5dfd2a85c9053fe50124d7b50725760.pdf,skip:blocked_host
10.21608/ijhth.2025.338898.1058,The Epithets and Roles of the God Shepsy,2024,"International Journal of Heritage, Tourism and Hospitality",True,,pending
10.21608/ijhth.2017.30207,Critical Analysis and Current Challenges Facing HRIS Adoption in Arab Countries - the Case of Saudi Arabia,2017,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_30207_c04674ec70d1d3a805b422a8943e802a.pdf,skip:blocked_host
10.3390/heritage5030128,The Comparative Analysis for the New Approach to Three Tourism-Oriented Heritage Districts in the United Arab Emirates,2022,Heritage,True,https://www.mdpi.com/2571-9408/5/3/128/pdf?version=1662032604,skip:blocked_host
10.21608/jaauth.2021.94035.1235,"The Role of Heritage Hotels in Increasing Tourist Flow Rates in Cairo, Egypt",2021,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_204211_061b6e37123f08d3368b6ef260179ee3.pdf,skip:blocked_host
10.21608/ijhth.2021.192191,The Iconography of Goddess Tjenenet from the Middle Kingdom to the Late Period,2021,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_192191_a7996ff700761269dfbf469fb76117b5.pdf,skip:blocked_host
10.21608/jaauth.2016.48024,CUSTOMER PERCEPTIONS OF HOSPITALITY SERVICES AT SOME HERITAGE SITES IN EGYPT,2016,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_48024_67eb036734a23532c107d73b2c62a4c3.pdf,skip:blocked_host
10.21608/sis.2024.293626.1168,Arab Sasanian Coins for Abd al Malk b. Abd Allah b. Amir (66-67 AH/ 686-687 AD) in Bishapur,2024,"Journal of Tourism, Hotels and Heritage",True,https://sjs.journals.ekb.eg/article_362638_265d4d295036e190d3cf9c53372dcde0.pdf,skip:blocked_host
10.21608/jaauth.2022.158679.1390,The role of sports events in preserving heritage and promote sports tourism ( applying to equestrian sport),2022,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_270644_15eabf7b784b6a378693b2a9d91d6b34.pdf,skip:blocked_host
10.21608/jaauth.2018.47939,The Impact of Digital Business Re-engineering on the Tourism Organizations Administrative Performance Case Study: Saudi Authority for Tourism and National Heritage,2018,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_47939_5e87231a83fa5437155d8e3df0c3193c.pdf,skip:blocked_host
10.21608/ijhth.2019.35114,Goddess Nekhbet Scenes on Royal Monuments during the Fifth and Sixth Dynasties,2019,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_35114_06448090d40c45ad8086d7ffbb8ab874.pdf,skip:blocked_host
10.21608/sis.2024.294945.1169,Arab Sasanian Dirham in The Name of Abd Allah b. Amir in in Fars Mints (66-67 AH/661-664 AD),2024,"Journal of Tourism, Hotels and Heritage",True,,pending
10.21608/ijhth.2023.371357,"Unpublished Akhmimc coffin of Nesmin son Irheru, one of Hurghada museum's collections",2023,"International Journal of Heritage, Tourism and Hospitality",True,,pending
10.21608/ijhth.2019.35107,The Economics of the Egyptian Stock Market and the Financing of Tourism and Hospitality Projects: A Comparative Study of some Arab Stock Markets,2019,"International Journal of Heritage, Tourism and Hospitality",True,https://ijhth.journals.ekb.eg/article_35107_938013d42945735bd89b4ffc0a14458f.pdf,skip:blocked_host
10.21608/jaauth.2025.354307.1659,"The Vanishing Heritage: An In-depth Study of Disappearing Archaeological Sites in Kafr El-Sheikh, Egypt",2025,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/jaauth.2017.50037,The effect of Underground Water on Heritage Sites (A case Study on Graeco-Roman Cemeteries in Alexandria),2017,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_50037_0c604f6552213dc9a203fa650f0a92f4.pdf,skip:blocked_host
10.21608/jaauth.2020.39676.1062,Praying Beads and Praying Ropes in Coptic Art in the Context of Coptic Heritage,2020,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_112581_bfcf05e5c9cd485a78c48885dff78856.pdf,skip:blocked_host
10.21608/jaauth.2022.106887.1268,Development of Heritage Tourism in Egypt and The Strategy of Including it on The Tourist Map: Applying to St. Catherine Area,2022,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_215208_1bf27a930560601724082e7652ef3b9f.pdf,skip:blocked_host
10.21608/jaauth.2021.106687.1267,A Neglected Built Heritage: The Museum of the Suez Canal Authority in Port Said,2021,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_210712_988347bb0cfda9ca4116dab7842df449.pdf,skip:blocked_host
10.21608/jaauth.2019.196205,Reconstructing the Ancient Caravan Route of Darb Al-Arbain in Greco-Roman Egypt: Heritage Value and Tourism Potential,2019,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_196205_d634d3f27feb66fc7d54cb21d05c40b2.pdf,skip:blocked_host
10.21608/jaauth.2025.439718.1720,The Role of Participatory Tourism in Managing Abu Mena Archaeological Site in Mariout (Community Protection of Heritage): An Analytical Field Study,2025,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/sis.2024.320994.1180,Ibis Mummy Containers During Late Period in the Ancient Egyptian Agriculture Museum,2024,"Journal of Tourism, Hotels and Heritage",True,https://sjs.journals.ekb.eg/article_395205_b9b0ef315be79face77d50ed5134c36c.pdf,skip:blocked_host
10.21608/jaauth.2026.466813.1748,The Traditional Practices Related to Henna in Egypt : The Siwan Community as a Case Study and Applying Henna traditions in the Heritage Tourism,2026,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.30965/9783657766260_004,"Ottomania: Boy Love, Incest, and the Arab Spring",2015,"Essays on Heritage, Tourism and Society in the MENA Region",False,,pending
10.21608/jaauth.2021.94727.1237,The Impact of the Application of Precautionary Measures for the Corona Virus on the Demand of Customers to Heritage Cafes,2021,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_198543_42310f8fb375aa995b775f7177ac03bf.pdf,skip:blocked_host
10.1080/1743873x.2015.1082576,"Heritage, heritage tourism and climate change",2015,Journal of Heritage Tourism,False,,pending
10.1080/1743873x.2014.903610,Heritage tourism,2014,Journal of Heritage Tourism,False,,pending
10.1080/17438731003696339,"The heritage-scape: UNESCO, World Heritage, and tourism",2010,Journal of Heritage Tourism,False,,pending
10.2307/jj.26932055.7,Approaches to Industrial Heritage Tourism,2015,Industrial Heritage Tourism,False,,pending
10.4337/9781789903522.00012,Heritage tourism rescalings,2020,A Research Agenda for Heritage Tourism,False,,pending
10.21832/9781845416256-010,"7 The Heritage, Screen and Literary Tourism Nexus within Tourism",2017,"Heritage, Screen and Literary Tourism",False,,pending
10.5040/9798216415442.ch-4,Tourism: The Heritage-Scape’s Ritual Interaction,2008,The Heritage-scape,False,,pending
10.1080/1743873x.2016.1196901,Industrial heritage tourism,2016,Journal of Heritage Tourism,False,,pending
10.1007/978-3-031-58029-1_4,"Heritage Tourism, Education Challenges, and Representations of the Past: Insights from the United Arab Emirates",2024,"Geography of Time, Place, Movement and Networks, Volume 2",False,,pending
10.21608/jaauth.2025.402386.1697,The Impact of Interpretation of Tour Guide on the Tourist's Memorable Experience and Loyalty to Upper Egypt’s Heritage Sites,2025,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.2307/jj.22730685.8,China’s Tourism and Heritage Tourism Development,2017,Heritage Tourism in China,False,,pending
10.4324/9780203855416-14,Heritage Tourism Merchandise,2010,Sustainable Marketing of Cultural and Heritage Tourism,False,,pending
10.4337/9781789903522.00008,Heritage tourism: shifting paradigms,2020,A Research Agenda for Heritage Tourism,False,,pending
10.1080/1743873x.2014.904320,"Sport, heritage, and tourism",2014,Journal of Heritage Tourism,False,,pending
10.4324/9780203701881-9,Creating heritage for tourism,2018,Creating Heritage for Tourism,False,,pending
10.21608/jaauth.2018.53973,"The impact of revolutions and political transformations on archeology and heritage during the modern and contemporary history of Egypt ""The Scientific Society as Model""",2018,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_53973_fbb837a45a6a66f41e5f7d09abb35c33.pdf,skip:blocked_host
10.4324/9780203701881-5,"Constructing heritage, shaping tourism",2018,Creating Heritage for Tourism,False,,pending
10.4324/9780203074619-25,Heritage tourism in Africa,2013,Heritage and Tourism,False,,pending
10.1108/eb058358,Challenging the present approach to heritage tourism: Is tourism to heritage places heritage tourism?,2001,Tourism Review,False,,pending
10.4337/9781789903522.00016,Heritage tourism: politics matters,2020,A Research Agenda for Heritage Tourism,False,,pending
10.4324/9780203583685-28,‘Mobile heritage’: motor vehicle heritage tourism in the United Kingdom,2013,Contemporary Issues in Cultural Heritage Tourism,False,,pending
10.4324/9780203068564-17,Who Consumes the Heritage Product? Implications for European Heritage Tourism,2013,Building A New Heritage (RLE Tourism),False,,pending
10.1016/0261-5177(89)90030-7,Heritage management for heritage tourism,1989,Tourism Management,False,,pending
10.1080/1743873x.2012.660943,Negotiating authenticity: Cathar heritage tourism,2012,Journal of Heritage Tourism,False,,pending
10.1080/1743873x.2020.1835924,"‘Quixotic’ tourism? Safety, ease, and heritage in post-COVID world tourism",2020,Journal of Heritage Tourism,False,,pending
10.1080/1743873x.2014.995151,The semiotics of heritage tourism,2015,Journal of Heritage Tourism,False,,pending
