topic,year,count
Policy,2013,15
Heritage Tourism,2017,15
Arab,2018,15
Silk Road,2018,15
Destination Image,2019,15
Silk Road,2019,15
Learning,2020,15
Cultural Tourism,2021,15
Sustainability,2021,15
Tourism In,2021,15
China,2022,15
Artificial Intelligence,2023,15
Education,2023,15
Learning,2023,15
Sustainability,2023,15
Education,2024,15
Ai-Generated,2025,15
Sustainability,2025,15
Arab,2026,15
Halal Tourism,2026,15
Road,2026,15
Travel,2026,15
Tourism,2005,14
Heritage,2006,14
Arab,2009,14
Arab,2013,14
Cultural Heritage,2013,14
Destination,2015,14
Destination,2016,14
World Heritage,2017,14
China,2018,14
Policy,2018,14
Sustainable,2018,14
Destination Image,2021,14
Of Tourism,2021,14
Heritage Tourism,2022,14
Hospitality,2024,14
Tourism/Cultural Exchange (宽泛匹配),2025,14
教育,2025,14
Ai-Generated Content,2026,14
Intangible Cultural Heritage,2026,14
Knowledge Graph,2026,14
Cultural Tourism,2003,13
China,2016,13
Outbound Tourism,2016,13
Arabia,2017,13
Saudi Arabia,2017,13
Belt,2018,13
Heritage Sites,2019,13
Tourism/Cultural Exchange (宽泛匹配),2019,13
Arab World,2020,13
The Arab World,2020,13
文化,2020,13
Big Data,2021,13
Sustainable,2021,13
Economy,2022,13
Economy,2023,13
Smart Tourism,2023,13
Destination Image,2024,13
Text Mining,2024,13
Conservation,2025,13
Hospitality,2025,13
Tourism Destination,2025,13
Education,2026,13
Generative Ai In,2026,13
Heritage In,2026,13
Tourism In,2026,13
Tourist,2026,13
跨文化,2026,13
Cultural Tourism,2006,12
Arab,2007,12
China,2009,12
Cultural Heritage,2012,12
Destination,2014,12
Tourist,2016,12
Tourists,2016,12
Hajj,2017,12
Tourism Carrying,2017,12
Tourism Carrying Capacity,2017,12
Tourism/Cultural Exchange (宽泛匹配),2018,12
Museum,2019,12
Of Tourism,2019,12
Policy,2019,12
Dark Tourism,2020,12
Destination Image,2020,12
In Tourism,2020,12
Sustainable Tourism,2020,12
The Maritime Silk,2020,12
Tourism/Cultural Exchange (宽泛匹配),2020,12
Policy,2021,12
Road,2021,12
Arabic,2022,12
Belt,2022,12
Halal Tourism,2022,12
In Tourism,2023,12
Silk Road,2023,12
Virtual,2023,12
Ai In,2024,12
Dark Tourism,2024,12
Destinations,2024,12
Silk,2024,12
Silk Road,2024,12
Tourism Destination,2024,12
Tourism Industry,2024,12
文化,2024,12
Ai In,2025,12
Big Data,2025,12
Muslim,2025,12
Of Ai,2025,12
Hospitality,2026,12
In Saudi Arabia,2026,12
Policy,2026,12
Sustainable Tourism,2026,12
Tourism/Cultural Exchange (宽泛匹配),2026,12
Travel,2006,11
Travel And Tourism,2006,11
Destination,2012,11
Tourism In,2012,11
Heritage Tourism,2013,11
Middle East,2013,11
Cultural Heritage,2014,11
Tourist,2017,11
In Tourism,2018,11
Of Tourism,2018,11
Muslim,2019,11
Artificial,2020,11
Heritage Tourism,2020,11
Pilgrimage,2020,11
World Heritage,2020,11
Belt And Road,2022,11
Governance,2022,11
Hospitality,2022,11
Machine Learning,2022,11
Metaverse,2022,11
Tourism Destination,2022,11
Arabia,2023,11
Heritage Tourism,2023,11
Marketing,2023,11
Saudi Arabia,2023,11
Artificial,2024,11
Artificial Intelligence,2024,11
Economy,2024,11
In Saudi Arabia,2024,11
Of Digital,2024,11
Sustainability,2024,11
Tourists,2024,11
Virtual Reality,2024,11
Arab,2025,11
Artificial,2025,11
In Saudi Arabia,2025,11
Metaverse,2025,11
Of Cultural Heritage,2025,11
Silk,2025,11
传统文化,2025,11
Learning,2026,11
Rural Tourism,2026,11
Tourists,2026,11
Virtual,2026,11
Arabic,2005,10
Destination,2010,10
Cultural Tourism,2013,10
Heritage Tourism,2015,10
Chinese Outbound Tourism,2016,10
Conservation,2017,10
Middle East,2017,10
Digital,2018,10
Road Initiative,2018,10
Sustainability,2018,10
Environmental,2019,10
Sustainable,2019,10
Tourism Destination,2019,10
World Heritage Sites,2019,10
Arabia,2020,10
Belt,2020,10
Big Data,2020,10
Cultural Tourism,2020,10
Education,2020,10
Marketing,2020,10
Saudi Arabia,2020,10
Arabia,2021,10
Economy,2021,10
Heritage Tourism,2021,10
Saudi Arabia,2021,10
Smart Tourism,2021,10
Tourism Destination,2021,10
Archaeological,2022,10
Circular Economy,2022,10
Destinations,2022,10
Tourism/Cultural Exchange (宽泛匹配),2022,10
Virtual,2022,10
Destinations,2023,10
Heritage In,2023,10
Metaverse,2023,10
Text Mining,2023,10
Tourism Destination,2023,10
Intangible Cultural Heritage,2024,10
Learning,2024,10
Museum,2024,10
Tourism In The,2024,10
Arabic,2025,10
Belt,2025,10
Economy,2025,10
Hajj,2025,10
Policy,2025,10
伊斯兰,2025,10
文化交流,2025,10
社交媒体,2025,10
Digital Twin,2026,10
Islamic,2026,10
Silk,2026,10
Sustainability,2026,10
Text Mining,2026,10
Tourism,1998,9
Arabic And English,2005,9
Cultural Heritage,2007,9
Heritage-Scape,2008,9
Arab,2011,9
Sustainable Tourism,2012,9
China,2013,9
Governance,2013,9
Hajj,2015,9
Interfaith,2016,9
Tourism To,2016,9
Islam,2017,9
Learning,2017,9
Of Cultural Heritage,2017,9
Pilgrimage,2017,9
Sustainable,2017,9
Culture,2018,9
Destination Image,2018,9
Learning,2018,9
Tourism In The,2018,9
Maritime Silk,2019,9
Maritime Silk Road,2019,9
Road Initiative,2019,9
Artificial Intelligence,2020,9
Conservation,2020,9
World Heritage,2021,9
Intangible Cultural Heritage,2022,9
Sustainability,2022,9
The Silk Road,2022,9
Tourists,2022,9
Belt,2023,9
Deep Learning,2023,9
Digital Twin,2023,9
Of Digital,2023,9
Pilgrimage Tourism,2023,9
Preservation,2023,9
Sustainable Tourism,2023,9
Travel,2023,9
World Heritage,2023,9
Halal Tourism,2024,9
In The Tourism,2024,9
Of Ai,2024,9
Policy,2024,9
旅游,2024,9
Artificial Intelligence,2025,9
Heritage In,2025,9
Of Destination,2025,9
Silk Road,2025,9
Sustainable Tourism,2025,9
Text Mining,2025,9
文化旅游,2025,9
And Destination Image,2026,9
Generative Ai And,2026,9
In Cultural Heritage,2026,9
In Rural Tourism,2026,9
Of Cultural Heritage,2026,9
Of Generative Ai,2026,9
Silk Road,2026,9
教育,2026,9
Arab,1969,8
Tourism,1995,8
Heritage,2001,8
Tourism,2001,8
Heritage Site,2006,8
World Heritage,2006,8
World Heritage Site,2006,8
Policy,2008,8
Arab,2010,8
Cultural Heritage,2010,8
China,2011,8
Of Tourism,2012,8
Digital,2013,8
Sustainable,2013,8
Tourism Policy,2013,8
Arab World,2014,8
Dark Tourism,2014,8
Of Tourism,2015,8
Sustainable,2015,8
Arab World,2016,8
Heritage Site,2016,8
In Tourism,2016,8
Interfaith Dialogue,2016,8
Tourism In,2016,8
World Heritage Site,2016,8
Heritage In,2017,8
Literary Tourism,2017,8
Of Tourism,2017,8
Policy,2017,8
Road,2017,8
Tourism/Cultural Exchange (宽泛匹配),2017,8
Heritage Tourism,2018,8
Belt,2019,8
Deep Learning,2019,8
Economy,2019,8
Islamic,2019,8
Machine Learning,2019,8
Travel,2019,8
Unesco,2019,8
Belt And Road,2020,8
Cultural Heritage And,2020,8
Environmental,2020,8
In The Arab,2020,8
Intangible Cultural Heritage,2020,8
Museums,2020,8
Road Initiative,2020,8
Arabic,2021,8
Heritage In,2021,8
Muslim,2021,8
Strategy,2021,8
And Road Initiative,2022,8
Archaeology,2022,8
Destination Brand,2022,8
Of Cultural Heritage,2022,8
Preservation,2022,8
Road Initiative,2022,8
Travel,2022,8
Virtual Reality,2022,8
World Heritage,2022,8
Circular Economy,2023,8
Culture,2023,8
Hajj,2023,8
Heritage Sites,2023,8
Hospitality,2023,8
Mecca,2023,8
Rural Tourism,2023,8
Tourist Destination,2023,8
Culture,2024,8
Destination Brand,2024,8
Generative Ai In,2024,8
Hajj,2024,8
In China,2024,8
Of Generative Ai,2024,8
Pilgrimage,2024,8
Strategy,2024,8
Educational,2025,8
Exhibition,2025,8
For Cultural Heritage,2025,8
Generative Ai And,2025,8
Generative Ai In,2025,8
Governance In,2025,8
In China,2025,8
On Tourism,2025,8
Pilgrimage,2025,8
Cultural Tourism,2026,8
Destination Image And,2026,8
Governance,2026,8
In Generative Ai,2026,8
Of Ai-Generated,2026,8
Tourism And Hospitality,2026,8
文化传播,2026,8
遗产,2026,8
Heritage,2004,7
Of Arabic,2005,7
Of Arabic And,2005,7
Tourism In,2006,7
Digital,2007,7
Cultural Heritage,2008,7
Destination,2008,7
Cultural Tourism,2009,7
Digital,2011,7
Tourist,2011,7
Travel,2011,7
Cultural Tourism,2012,7
In Tourism,2012,7
Marketing,2012,7
Marketing,2013,7
Of Tourism,2013,7
Cultural Tourism,2014,7
The Arab World,2014,7
Cultural Tourism,2015,7
Digital,2015,7
Heritage Tourism,2016,7
Hospitality,2016,7
In The Arab,2016,7
Learning,2016,7
Mainland,2016,7
Mainland Chinese,2016,7
Mainland Chinese Outbound,2016,7
Outbound Tourism To,2016,7
Road,2016,7
Sustainability,2016,7
Sustainable,2016,7
The Arab World,2016,7
Big Data,2017,7
Destinations,2017,7
Digital,2017,7
Education,2017,7
Heritage Sites,2017,7
In The Arab,2017,7
Marketing,2017,7
Silk,2017,7
Sustainability,2017,7
And Road Initiative,2018,7
Arabia,2018,7
Belt And Road,2018,7
Education,2018,7
Maritime Silk,2018,7
Maritime Silk Road,2018,7
Tourists,2018,7
Artificial,2019,7
Heritage Site,2019,7
Hospitality,2019,7
Of Destination,2019,7
Pilgrimage,2019,7
Smart,2019,7
Tourism In,2019,7
Tourists,2019,7
文化,2019,7
And Road Initiative,2020,7
Arabic,2020,7
Culture,2020,7
Heritage Site,2020,7
Policy,2020,7
Text Mining,2020,7
The Belt And,2020,7
Tourism Destination,2020,7
Travel,2020,7
中国,2020,7
Blockchain,2021,7
Halal Tourism,2021,7
Heritage Site,2021,7
Machine Learning,2021,7
Tourists,2021,7
Artificial,2022,7
Artificial Intelligence,2022,7
Climate,2022,7
Difficult Heritage,2022,7
Heritage Sites,2022,7
Strategy,2022,7
Text Mining,2022,7
The Belt And,2022,7
Tourism Industry,2022,7
Tourism Recovery,2022,7
Unesco,2022,7
Belt And Road,2023,7
Cultural Heritage And,2023,7
Destination Brand,2023,7
For Cultural Heritage,2023,7
Generative Ai,2023,7
In The Arab,2023,7
Of Ai,2023,7
Of Tourism In,2023,7
Tourism Industry,2023,7
Tourism/Cultural Exchange (宽泛匹配),2023,7
Virtual Reality,2023,7
Augmented Reality,2024,7
Chatbot,2024,7
Circular Economy,2024,7
Governance,2024,7
Knowledge Graph,2024,7
Of Cultural Heritage,2024,7
Tourism And Hospitality,2024,7
Tourism Destinations,2024,7
Tourism Sector,2024,7
Tourist Destination,2024,7
Umrah,2024,7
数字,2024,7
Art,2025,7
Belt And Road,2025,7
Digital Transformation,2025,7
In Generative Ai,2025,7
Machine Learning,2025,7
Tourism And Hospitality,2025,7
Tourism Sector,2025,7
经济,2025,7
音乐,2025,7
Ai In Tourism,2026,7
Economy,2026,7
Hajj,2026,7
Museum,2026,7
Tourism,1986,6
Tourism,1994,6
Tourism,1997,6
Tourism,2000,6
Arabic,2004,6
Interfaith,2006,6
Tourism In,2007,6
Heritage,2009,6
Tourist,2009,6
China,2010,6
User Generated Content,2011,6
In China,2012,6
Travel,2012,6
China,2014,6
Destination Image,2014,6
In Tourism,2014,6
Tourism/Cultural Exchange (宽泛匹配),2014,6
Tourist,2014,6
Virtual,2014,6
Culture,2015,6
Pilgrimage,2015,6
Cultural Tourism,2016,6
Environmental,2016,6
Arab World,2017,6
Arabic,2017,6
Destination Image,2017,6
Heritage Site,2017,6
In Tourism,2017,6
Museum,2017,6
Silk Road,2017,6
Smart,2017,6
The Arab World,2017,6
World Heritage Site,2017,6
Environmental,2018,6
Halal Tourism,2018,6
Of Cultural Heritage,2018,6
Of Destination,2018,6
Smart,2018,6
The Belt And,2018,6
World Heritage,2018,6
Artificial Intelligence,2019,6
Belt And Road,2019,6
Big Data,2019,6
Heritage In,2019,6
Heritage Tourism,2019,6
In Tourism,2019,6
Intangible Cultural Heritage,2019,6
Marketing,2019,6
Participation,2019,6
Sustainable Tourism,2019,6
World Heritage Site,2019,6
旅游,2019,6
Art,2020,6
Destinations,2020,6
Economy,2020,6
Market,2020,6
New Silk Road,2020,6
Silk Road And,2020,6
Smart,2020,6
The New Silk,2020,6
Tourism As,2020,6
Virtual,2020,6
World Heritage Site,2020,6
Belt,2021,6
Belt And Road,2021,6
Circular Economy,2021,6
Culture,2021,6
Destinations,2021,6
Governance,2021,6
Heritage Sites,2021,6
Middle East,2021,6
Of Heritage,2021,6
Silk,2021,6
Text Mining,2021,6
The Belt And,2021,6
Cultural Tourism,2022,6
Dark Tourism,2022,6
Educational,2022,6
Heritage Tourism Sites,2022,6
In China,2022,6
Maritime Silk,2022,6
Maritime Silk Road,2022,6
Of Museum,2022,6
Of Smart,2022,6
Of Tourist,2022,6
Outbound Tourism,2022,6
Participation,2022,6
Sustainable Tourism,2022,6
The Maritime Silk,2022,6
Tourism Sites,2022,6
Arabic,2023,6
Art,2023,6
Calligraphy,2023,6
Climate,2023,6
Cultural Tourism,2023,6
Market,2023,6
Of Tourist,2023,6
On Tourism,2023,6
Road Initiative,2023,6
Strategy,2023,6
The Circular Economy,2023,6
Tourism In China,2023,6
Tourism In The,2023,6
Unesco,2023,6
旅游,2023,6
Archaeological,2024,6
Art,2024,6
Blockchain,2024,6
Digital Cultural,2024,6
Middle East,2024,6
On Tourism,2024,6
Sustainable Tourism,2024,6
The Tourism Sector,2024,6
World Heritage,2024,6
Ai-Generated Content,2025,6
Halal Tourism,2025,6
Heritage Conservation,2025,6
Hotel,2025,6
In Heritage,2025,6
In The Digital,2025,6
In The Tourism,2025,6
Knowledge Graph Construction,2025,6
Knowledge Graphs,2025,6
Of Digital,2025,6
Of Heritage,2025,6
On Tourists,2025,6
Participation,2025,6
Strategy,2025,6
Tourism Governance,2025,6
Tourism Industry,2025,6
乡村旅游,2025,6
智慧旅游,2025,6
游客,2025,6
遗产,2025,6
Ai-Driven,2026,6
Arab World,2026,6
Artificial,2026,6
Artificial Intelligence,2026,6
Belt,2026,6
Dark Tourism,2026,6
Digital Heritage,2026,6
Dissonant Heritage,2026,6
Dubai,2026,6
Heritage Sites,2026,6
In Smart,2026,6
In Tourism And,2026,6
Influencer Marketing,2026,6
Marketing In,2026,6
Muslim-Friendly,2026,6
Of Destination,2026,6
Of Digital,2026,6
On Tourism,2026,6
Tourism Industry,2026,6
技术,2026,6
Tourism,1988,5
Tourism,1999,5
Heritage,2002,5
Arab,2003,5
Of Tourism,2003,5
Arabic Version,2004,5
Tourism In,2004,5
Middle East,2006,5
Middle East,2007,5
Pilgrimage,2007,5
Text Mining,2009,5
Policy,2010,5
Tourism In,2010,5
Tourism/Cultural Exchange (宽泛匹配),2010,5
Destination,2011,5
Heritage Tourism,2011,5
Digital,2012,5
Heritage Tourism,2012,5
Intangible Cultural Heritage,2012,5
Of Cultural Heritage,2012,5
Text Mining,2012,5
Tourist,2012,5
In Tourism,2013,5
Of Destination,2013,5
Tourism In,2013,5
Travel,2013,5
And The Arab,2014,5
Big Data,2014,5
Digital,2014,5
Education,2014,5
Of Tourism,2014,5
Policy,2014,5
Road,2014,5
Silk,2014,5
Silk Road,2014,5
Arabic,2015,5
China,2015,5
In Tourism,2015,5
Policy,2015,5
Smart,2015,5
Archaeology,2016,5
Big Data,2016,5
Heritage Sites,2016,5
Marketing,2016,5
Of Cultural Heritage,2016,5
Policy,2016,5
Smart,2016,5
Tourism Destination,2016,5
And Heritage Tourism,2017,5
Culture,2017,5
Economy,2017,5
Governance,2017,5
Halal Tourism,2017,5
In China,2017,5
In Saudi Arabia,2017,5
Mecca,2017,5
Travel,2017,5
Belt One,2018,5
Belt One Road,2018,5
Climate,2018,5
Conservation,2018,5
Dark Tourism,2018,5
Governance,2018,5
In The Arab,2018,5
New Silk Road,2018,5
One Belt,2018,5
One Belt One,2018,5
One Road,2018,5
Saudi Arabia,2018,5
The Maritime Silk,2018,5
The New Silk,2018,5
Tourism Destination,2018,5
Tourism Policy,2018,5
Travel,2018,5
Virtual,2018,5
Arab World,2019,5
Arts,2019,5
Culture,2019,5
Education,2019,5
Religious Tourism,2019,5
Silk Road Initiative,2019,5
Tourist Satisfaction,2019,5
Visitors,2019,5
Between China And,2020,5
Destination Brand,2020,5
Environment,2020,5
For Cultural Heritage,2020,5
Heritage As,2020,5
Heritage Conservation,2020,5
In China,2020,5
Machine Learning,2020,5
Mecca,2020,5
Of Cultural Heritage,2020,5
Of Digital,2020,5
The Silk Road,2020,5
Tourism And Pilgrimage,2020,5
Tourism In The,2020,5
Big Data In,2021,5
Deep Learning,2021,5
Hajj,2021,5
Hospitality,2021,5
Intangible Cultural Heritage,2021,5
Of Cultural Tourism,2021,5
Road Initiative,2021,5
Silk Road,2021,5
Tourist Destination,2021,5
中国,2021,5
Arabia,2022,5
Blockchain,2022,5
Climate Change,2022,5
In Cultural Heritage,2022,5
In The Arab,2022,5
Middle East,2022,5
Muslim,2022,5
Rural Tourism,2022,5
Saudi Arabia,2022,5
Tourism And Hospitality,2022,5
Ai-Generated,2023,5
And Road Initiative,2023,5
Climate Change,2023,5
Cultural Heritage In,2023,5
Exhibition,2023,5
Halal Tourism,2023,5
Heritage And Tourism,2023,5
Higher Education,2023,5
Knowledge Graph,2023,5
Machine Learning,2023,5
Muslim,2023,5
Of Destination,2023,5
Roads,2023,5
Silk Roads,2023,5
The Belt And,2023,5
The Silk Road,2023,5
To Cultural Heritage,2023,5
Tourism And Hospitality,2023,5
And Cultural Tourism,2024,5
Arab World,2024,5
Belt,2024,5
Conservation,2024,5
Cultural Heritage Tourism,2024,5
Educational,2024,5
In Cultural Heritage,2024,5
Mecca,2024,5
Metaverse In,2024,5
Of China,2024,5
Of Destination,2024,5
Of Smart,2024,5
Of Smart Tourism,2024,5
The Arab World,2024,5
The Tourism Industry,2024,5
Trade,2024,5
伊斯兰,2024,5
Ai-Driven,2025,5
Augmented Reality,2025,5
Chatbot,2025,5
Community-Based Tourism,2025,5
Cultural Heritage Through,2025,5
Cultural Heritage Tourism,2025,5
Destination Brand,2025,5
Destinations,2025,5
Digital Twin,2025,5
Heritage Site,2025,5
Islamic,2025,5
Journey,2025,5
Law,2025,5
Maritime Silk,2025,5
Maritime Silk Road,2025,5
Market,2025,5
Of Ai-Generated,2025,5
Of Virtual,2025,5
Preservation,2025,5
Road Initiative,2025,5
The Belt And,2025,5
Tourism As,2025,5
Tourist Destination,2025,5
Virtual Reality And,2025,5
World Heritage,2025,5
大学,2025,5
数据,2025,5
阿拉伯,2025,5
非物质文化遗产,2025,5
And Cultural Heritage,2026,5
Arabic,2026,5
Belt And Road,2026,5
Cultural Heritage Sites,2026,5
Culture,2026,5
Destination Marketing,2026,5
Destinations,2026,5
Difficult Heritage,2026,5
Educational,2026,5
For Cultural Heritage,2026,5
Hotels,2026,5
In Dubai,2026,5
In Smart Tourism,2026,5
Machine Learning,2026,5
Of Ai,2026,5
Of Ai-Generated Content,2026,5
Of Sustainable,2026,5
Of Tourism,2026,5
Pills In Dubai,2026,5
The Arab World,2026,5
Tourism As,2026,5
乡村旅游,2026,5
传统文化,2026,5
非物质文化遗产,2026,5
Tourism,1984,4
Tourism Monitor,1986,4
Heritage,2000,4
Cultural Heritage,2003,4
In Tourism,2003,4
Policy,2003,4
Mass Tourism,2004,4
World Heritage,2004,4
Culture,2005,4
Destination,2005,4
Arab,2006,4
Arabic,2006,4
Community Participation,2006,4
Participation,2006,4
Arab Journalism,2007,4
Destination,2007,4
Of Cultural Heritage,2007,4
China,2008,4
Heritage Tourism,2008,4
Middle East,2008,4
Tourism Policy,2008,4
Tourist,2008,4
Heritage Tourism,2010,4
Sustainable,2010,4
Tourist,2010,4
Unesco,2010,4
World Heritage,2010,4
Cultural Heritage,2011,4
Tourism/Cultural Exchange (宽泛匹配),2011,4
Arab Emirates,2012,4
Arab World,2012,4
Arabic,2012,4
Destinations,2012,4
Middle East,2012,4
Of Tourism In,2012,4
Participation,2012,4
Unesco,2012,4
United Arab,2012,4
United Arab Emirates,2012,4
University,2012,4
Destination Image,2013,4
Muslim,2013,4
Of Cultural Tourism,2013,4
Road,2013,4
Silk,2013,4
Silk Road,2013,4
Tourist,2013,4
Arab Spring,2014,4
Destination Image And,2014,4
Heritage Site,2014,4
Museum,2014,4
The Silk Road,2014,4
Tourism In,2014,4
Travel,2014,4
Climate,2015,4
Destination Image,2015,4
Destinations,2015,4
Economy,2015,4
Environment,2015,4
Museum,2015,4
Of Destination,2015,4
Religious Tourism,2015,4
Tourist,2015,4
Travel,2015,4
Arab Spring,2016,4
Chinese Outbound Tourists,2016,4
Chinese Tourists,2016,4
Culture,2016,4
Destination Image,2016,4
Destinations,2016,4
Environment,2016,4
Hajj,2016,4
Mecca,2016,4
Of China,2016,4
Of Tourism,2016,4
Of World Heritage,2016,4
Outbound Tourists,2016,4
Tourism And The,2016,4
Virtual,2016,4
World Heritage Sites,2016,4
Arab Emirates,2017,4
Augmented Reality,2017,4
Cultural Heritage In,2017,4
Cultural Heritage Tourism,2017,4
Muslim,2017,4
Of China,2017,4
Of Destination,2017,4
Pilgrimage To,2017,4
Smart Tourism,2017,4
Strategy,2017,4
Tourism In Saudi,2017,4
Tourists,2017,4
Unesco,2017,4
United Arab,2017,4
United Arab Emirates,2017,4
Virtual,2017,4
Visitors,2017,4
文化,2017,4
Cultural Tourism,2018,4
Heritage In,2018,4
Hospitality,2018,4
Marketing,2018,4
Muslim,2018,4
Strategy,2018,4
Thailand,2018,4
Unesco,2018,4
And Road Initiative,2019,4
Art,2019,4
Circular Economy,2019,4
Climate,2019,4
Conservation,2019,4
Cultural Tourism,2019,4
Digital Twin,2019,4
Dubai,2019,4
Governance,2019,4
Hajj,2019,4
Halal Tourism,2019,4
Heritage Of,2019,4
Interfaith,2019,4
Interfaith Dialogue,2019,4
Market,2019,4
Of World Heritage,2019,4
Text Mining,2019,4
The Belt And,2019,4
Virtual,2019,4
阿拉伯,2019,4
 ,2020,4
"""",2020,4
",",2020,4
Artificial Intelligence In,2020,4
Blockchain,2020,4
Digital Twin,2020,4
Educational,2020,4
Hajj,2020,4
Heritage In,2020,4
Hospitality,2020,4
In Saudi Arabia,2020,4
Middle East,2020,4
Museum Diplomacy,2020,4
Of Destination,2020,4
Of Tourist,2020,4
On Tourism,2020,4
Sustainability,2020,4
Unesco,2020,4
Virtual Reality,2020,4
[,2020,4
],2020,4
ا,2020,4
ب,2020,4
ة,2020,4
ت,2020,4
ث,2020,4
ج,2020,4
ح,2020,4
خ,2020,4
د,2020,4
ر,2020,4
س,2020,4
ع,2020,4
ف,2020,4
ق,2020,4
ل,2020,4
م,2020,4
ي,2020,4
And Road Initiative,2021,4
And The Arab,2021,4
Art,2021,4
Between China And,2021,4
Chain,2021,4
Cultural Heritage In,2021,4
