paper_id,DOI,title,language_verified,fulltext_verified,topic_relevance,terms_version,b1_version,include_in_model,include_in_case,exclude_reason
W4391918854,10.31185/wjfh.vol19.iss53.532,التناص  مع التراث الادبي في شعر الرثاء في العصر العباسي,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4327513434,10.31430/wzub6312,في أنثروبولوجيا الاحتباس الحراري: المناخ وحقوق الإنسان والعمران البشري العالمي,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4387943201,10.29228/smryj.71630,لخطاب الإقناعي في أشعار ذوي العاهات الجاهليين,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4312825105,10.56807/buj.v3i2.185,التراث غير المادي اليمني في الفضاء الرقمي (نماذج مختارة),待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4200510720,10.33948/jap-ksu-33-4-2,الاستدامة الشاملة في إعادة توظيف المباني الحجازية التاريخية - حالة دراسية لبيت الصيرفي في جدة التاريخية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4392054342,10.33948/jap-ksu-36-1-4,العولمة والثقافة والتراث وهوية المدينة (مقالة مختصرة غير محكمة),待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4231006628,10.33193/jalhss.61.2020.333,توظيف التراث في قصص الدكتور جمال الجزيري( وتدمع عيون الغراب- أولاد الحرام- ما أجمل هذه القيامة ),待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4403752448,10.31430/ifwo5657,"""تراثنا هو الكون"" شذرات من خطاب في النسيان",待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4200337719,10.33193/jalhss.73.2021.599,القيم الجمالية والاقتصادية في بعض الصور الفوتوغرافية التراثية المطبوعة بالورق الحراري على خامات موفرة (الخشب، الأكريليك، البوليستر),待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2807624544,10.31430/rhlr6159,الأرسومات الزجاجية العربية وتعالق الصورة والكتابة (من خلال المدونة التونسية),待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2966305250,10.31430/10.31430,بين التعقل والتخلق كيف الطريق إلى الارتياض بمكارم الأخلاق عند ابن عربي؟,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4361988281,10.29228/jasss.67440,MODERN SURİYE’DEKİ DÜŞÜNCE VE İLİM ADAMLARININ METİN TENKİDİ GÖRÜŞLERİ أراء علماء ومفكري سوريا المعاصرين في نقد المتن الحديثي,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2509444367,10.35632/citj.v21i83.555,في نقد أطروحة العلمنة في السياقين الغربي والإسلامي,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4402644146,10.61312/tam6a968,دور المرأة الفلسطينية في حماية الهوية وثقافة المجتمع,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4404444847,10.33899/radab.2024.145181.02033,الاستلزام الحواري في الأمثال الشعبية الموصليـــة – مقاربة تداوليــــة-,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4403820803,10.31430/xjdd9594,حجاجية الترغيب في العمل و التحضيض عليه: المثل الشعبي التونسي أنموذجا,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4403990828,10.31430/ohsn1105,مسار الفردنة في تونس بين الديناميات الاجتماعية ومشروع النخبة الحداثوية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2912661598,10.31430/mhuf1883,مدخل إلى دراسة تاريخ الفكر الأخلاقي في مصر في سياق مشاريع الإصلاح والنهضة,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3136462358,,العلاقة بين الوقف والابتكار في ظل الرؤية الفقهية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4324116085,10.37653/juah.2015.144777,التجاوزات على استعمالات الأرض لمدینة راوه عام 2013م,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2613625124,10.36322/jksc.v1i34.4703,مدرسة قم الروائية في مواجهة الغلاة,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4320305177,10.47798/awuj.2022.i65.02,جماليات المفارقة في قصيدة رسالة إلى مهيار الدمشقي لعلي المتقي,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4250165251,10.33948/jap-ksu-33-1-2,اثر تكييف المباني الدينية المحولة على القيم المعمارية للفضاء الداخلي والممارسات الطقسية فيها,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W7172477395,,زاوية الهامل ودورها في حفظ التراث الجزائري,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4324115617,10.37653/juah.2012.144178,الجغرافیة الفلکیة العربیة دراسة لمراحلها التطویریة,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2741132154,10.36322/jksc.v1i20.5329,وقفات مع محمد رشيد رضا 1865 - 1925,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4410376171,10.33948/arts-ksu-37-2-1,سيميائية التركيب والتصوير في قصيدة الكوليرا لنازك الملائكة,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3123755425,10.29117/ansaq.2019.0104,"مراجعة كتاب: ""الإيماءة والإشارة: التواصل غير اللفظي في الثقافة القطرية""",待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W7165273637,,الحضور الثقافي بين المعرفة والممارسة,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4379207981,10.56807/buj.v5i2.367,"""إشكالية المصطلح في العلوم الإنسانية والاجتماعية بين الترجمة والتعريب""",待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4405872390,10.62339/jlc.v5i02.335,المصاحبة اللفظية في اللغة العربية -نماذج تطبيقية-,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3016472645,10.35632/citj.v20i78.707,الاقتصاد الإسلامي: حفرية مصطلح,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3208453223,10.56807/buj.v3i2.189,الحكاية الشعبية في مديرية العرش- دراسة موضوعية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4394882556,10.47798/awuj.2023.i67.05,التكثيف الشعري في قصيدة(العراق)، لعدنان الصائغ,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4409382211,10.33193/ijohss.65.2025.801,الصورة البلاغية لسورة القلم,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4404444786,10.33899/radab.2024.149220.2131,"الازياء الشـعبية في بغديـدا ""زي المرأة انموذجــا"" دراسـة سوسيو انثروبولوجيا",待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4394882288,10.47798/awuj.2023.i67.09,دعوات تجديد في البلاغة العربية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2986822489,,"المعاني الاكتشافية والارتجاعية في منظومة ""من فضل النبي تبركوا"" للشيخ غانم جلول عند نظرية سيمائية لميكائيل ريفاتير",待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2892125875,10.31436/jlls.v7i2.404,التماسك النصي في نماذج من مقامات الزمخشري: دراسة تحليلية / Textuality in selected texts of Zamakhshari’s Maqamat : An Analytical Study,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3197713501,10.46722/hikmah.v4i3.151,تصورات أدب الأطفال في تأليفات الشيخ أبي الحسن علي الندوي,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2917345512,10.31436/jlls.v9i1.616,دور استدعاء الشخصيات التراثية في توجيه الدلالة: شعر محمد القيسي أنموذجا / The function of recalling traditional characters in implying meanings: The poem of Muḥammad al-Qaisi as case study,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2902669804,10.31436/jlls.v9i2.680,عبدالله الطيب شاعر التراث: مكانته الأدبية وظواهر لغوية في ديوانه (بانات رامة) / ʽAbdullah al-Ṭayyib a Traditional Poet: His literary Standing and Language Features in his Anthology: “Banāt Ramah”,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2912585504,,استعمال الطلسم لحفظ شيئ ما لدى المجتمع المادوري في كتاب منبع أصول الحكمة لأبي عباس أحمد بن علي البوني على النظرية البنيوية لليفي ستروس,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2787388517,,تحليل المحتوى الثقافي للكتاب المدرسي العربية للناشئين,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2999502184,,الفقه المالكي في السنغال: الانتشار والتطور - سعيد جاه ومحمد الطاهر الميساوي = The dissemination and development of the Maliki jurisprudence in Senegal,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3195382679,,صىسة اخش انصش ف انص انشحه انع ب بششق أفشمبسحهت أب انحبسد انبشوا (ىرصب دساست وصفت),待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2617350716,10.36322/jksc.v1i32.5179,الشيخ جعفر النقدي حياته وجهوده الفكرية 1885 - 1950 دراسة تاريخية تحليلية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2954442548,,تشابه سفرة روحية الإنسان في كتاب منطق الطير لفريد الدين العطار من خلال نظرية الوجودية لجان بول سارتر,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
ARABIC-2010-b0b055cb,,التصوف الإسلامي بين التأثر والتأثير,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
,10.34120/ajh.v28i109.2183,"أنت عربي! يا للصدفة. فأنا أحب الحمص. المزة ومشهيات التواصل الثقافي. “Oh, you’re an Arab - I love hummus!” Mezze: Cultural Dialogue Appetizers.",true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.37134/sibawayh.vol2.2.8.2021,"استعمال معمل اللغة للتدريس اللغة الأجنبية: اللغة العربية نموذجا
Utilization of Language Laboratory for Teaching Arabic as A Second Language",true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.63939/jsms.2025-vol8.n29.10-32,السياحة الرياضية ودورها في تنمية وتطوير القطاع السياحي: دراسة حالة كأس العالم 2022 بدولة قطر Sports Tourism and Its Role in the Development and Advancement of the Tourism Sector: A Case Study of the 2022 FIFA World Cup in Qatar,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.21608/rmshreq.2021.412859,论伊斯兰教法在华的深度本土化成果 ——中国伊斯兰习惯法 مآثر تأقلم الأحكام الفقهية مع الطابع الصيني (فقه الأعراف بالصين),true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.21608/jsh.2024.360574,الثقافة الإسلامية في الصين (التعليم المسجدي في الصين نموذجًا) Chinese Islamic Culture Mosque Education in China as a Case Study 中国伊斯兰教文化 ——以中国伊斯兰教经堂教育为例,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.21608/jsh.2024.399015,مفهوم السلام في الإسلام وأثره Concept and Impact of Peace in Islam 伊斯兰教和平观及其影响,true,待人工,false,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.1515/caas-2025-2003,ترجمة أدب نسائياته ووظيفته في العالم العربي / The Translation and Reception of Shanghai Literature in the Arab World,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.21608/jfhsc.2025.505974,阿汉语否定工具使用错误的对比研究：以学习汉语的阿拉伯学生和学习阿拉伯语的中国学生为例 دراسة مقارنة لأخطاء استخدام أدوات النفي بين العربية والصينية: نموذج الطلاب العرب دارسي الصينية والطلاب الصينين دارسي العربية,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.34120/ajh.v31i.2397,الاستغراب وأفق الحوار الحضاري. Occidentalism and the Horizons of Civilizational Dialogue.,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.21608/jfabsu.2023.97111.1115,《由社会语言学角度浅谈微信的语言》 跨科学研究 莎蜜博士 贝尼苏韦夫大学语言学院中文系讲师 (مدخل إلى لغة الويتشات من زاوية علم اللغة الاجتماعي – دراسة بينية),true,待人工,false,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.17977/um082v3i12023p44-58,"الخط العربي تاريخ و إبداع   (Arabic Calligraphy, History and Creativity)",true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.3998/mpub.11373292.cmp.838,"The Color of Paradise, Rang-e Khodā,رنگ خدا Image 1",true,待人工,false,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.18860/ijazarabi.v5i1.13174,Development Of Arabic Calligraphy Learning Material  Base On Self-Learning/ تطوير مادة تعليم الخط العربي على ضوء تعلم الذاتي,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.70910/ijal1(1)4,المعنى في الخط العربي Significance of Arabic Calligraphy,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.58205/fber.v3i1.1462,متطلبات تطوير مشروعات السياحة الصحراوية في ضوء أهداف التنمية المستدامة,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,10.47832/2717-8293.16.26,الماء والسياحة في المجالات الواحية الصحراوية - الواحات المغربية نموذجا,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,الاستثمار المستدام في مباني التراث العمراني (دراسة تحليلية),true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,الروابط بين الطبيعة والثقافة والنزاعات وتأثيرات التغير المناخي,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,التطريز بالخيوط الذكية لبعض المطرزات السعودية,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,صناعة المخطوط في العراق,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,مخطوطة صفة المياه الحادة المعدنية,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,تحقيق القسم الثالث من مخطوطة الآداب الطبية,true,待人工,false,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,ألواح الرصاص دراسة تاريخية,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,الأوبئة في التراث الطبي العربي والإسلامي,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,القدس منارة الشعر العربي,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,أهمية دراسة المصادر التاريخية,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
,,منطقة الحياد العراقية السعودية,true,待人工,true,3332966f,12233,0,0,主表language=ar但不在61条严格入模候选名单
汇总,61条中已在B1 0 / 不在 61 / 重复 0；主表ar27条中不在61名单 27 条；总行数 88,,,,,,,,,
