评价者编号,任务ID,呈现顺序,材料内容(条件X),材料内容(条件Y)
R4,T3,B先,"[{""topic"": ""tour"", ""heat"": 2800, ""growth"": 397, ""centrality"": 0.415, ""connections"": 775, ""predicted_growth_3y"": 897.7}, {""topic"": ""文化"", ""heat"": 1504, ""growth"": 182, ""centrality"": 0.327, ""connections"": 611, ""predicted_growth_3y"": 465.1}, {""topic"": ""nation"", ""heat"": 1295, ""growth"": 158, ""centrality"": ","[{""topic"": ""tour"", ""heat"": 2800, ""growth"": 397, ""centrality"": 0.415, ""connections"": 775}, {""topic"": ""旅游"", ""heat"": 2828, ""growth"": 350, ""centrality"": 0.421, ""connections"": 785}, {""topic"": ""文化"", ""heat"": 1504, ""growth"": 182, ""centrality"": 0.327, ""connections"": 611}, {""topic"": ""nation"", ""heat"": 1295, ""g"
R4,T4,A先,"[{""topic"": ""nation"", ""heat"": 1572, ""growth"": 277, ""centrality"": 0.306, ""connections"": 592}, {""topic"": ""旅游"", ""heat"": 3031, ""growth"": 203, ""centrality"": 0.429, ""connections"": 831}, {""topic"": ""文化"", ""heat"": 1704, ""growth"": 200, ""centrality"": 0.348, ""connections"": 675}, {""topic"": ""遗产"", ""heat"": 1351, ""gro","[{""topic"": ""nation"", ""heat"": 1572, ""growth"": 277, ""centrality"": 0.306, ""connections"": 592, ""predicted_growth_3y"": 523.4}, {""topic"": ""遗产"", ""heat"": 1351, ""growth"": 176, ""centrality"": 0.272, ""connections"": 527, ""predicted_growth_3y"": 440.8}, {""topic"": ""文化"", ""heat"": 1704, ""growth"": 200, ""centrality"": 0."
R4,T5,B先,"[{""topic"": ""tour"", ""heat"": 3300, ""growth"": 407, ""centrality"": 0.434, ""connections"": 882, ""predicted_growth_3y"": 1111.8}, {""topic"": ""旅游"", ""heat"": 3486, ""growth"": 455, ""centrality"": 0.451, ""connections"": 915, ""predicted_growth_3y"": 531.1}, {""topic"": ""遗产"", ""heat"": 1587, ""growth"": 236, ""centrality"": 0.2","[{""topic"": ""旅游"", ""heat"": 3486, ""growth"": 455, ""centrality"": 0.451, ""connections"": 915}, {""topic"": ""tour"", ""heat"": 3300, ""growth"": 407, ""centrality"": 0.434, ""connections"": 882}, {""topic"": ""文化"", ""heat"": 2014, ""growth"": 310, ""centrality"": 0.361, ""connections"": 734}, {""topic"": ""nation"", ""heat"": 1855, ""g"
R4,T6,A先,"[{""topic"": ""旅游"", ""heat"": 3831, ""growth"": 345, ""centrality"": 0.462, ""connections"": 953}, {""topic"": ""tour"", ""heat"": 3581, ""growth"": 281, ""centrality"": 0.443, ""connections"": 913}, {""topic"": ""文化"", ""heat"": 2264, ""growth"": 250, ""centrality"": 0.389, ""connections"": 802}, {""topic"": ""nation"", ""heat"": 2000, ""g","[{""topic"": ""艺术"", ""heat"": 792, ""growth"": 126, ""centrality"": 0.212, ""connections"": 437, ""predicted_growth_3y"": 231.0}, {""topic"": ""数字"", ""heat"": 459, ""growth"": 137, ""centrality"": 0.133, ""connections"": 275, ""predicted_growth_3y"": 144.0}, {""topic"": ""text"", ""heat"": 502, ""growth"": 87, ""centrality"": 0.137, """
R4,T7,B先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": ","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, """
R4,T8,A先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, ""","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": "
R4,T9,B先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": ","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, """
R5,T1,A先,"[{""topic"": ""旅游"", ""heat"": 2102, ""growth"": 347, ""centrality"": 0.396, ""connections"": 663}, {""topic"": ""tour"", ""heat"": 2010, ""growth"": 338, ""centrality"": 0.369, ""connections"": 618}, {""topic"": ""文化"", ""heat"": 1275, ""growth"": 225, ""centrality"": 0.319, ""connections"": 534}, {""topic"": ""world"", ""heat"": 466, ""gro","[{""topic"": ""旅游"", ""heat"": 2102, ""growth"": 347, ""centrality"": 0.396, ""connections"": 663, ""predicted_growth_3y"": 330.7}, {""topic"": ""遗产"", ""heat"": 784, ""growth"": 188, ""centrality"": 0.211, ""connections"": 353, ""predicted_growth_3y"": 314.6}, {""topic"": ""tour"", ""heat"": 2010, ""growth"": 338, ""centrality"": 0.369"
R5,T2,B先,"[{""topic"": ""tour"", ""heat"": 2403, ""growth"": 393, ""centrality"": 0.39, ""connections"": 702, ""predicted_growth_3y"": 1075.8}, {""topic"": ""旅游"", ""heat"": 2478, ""growth"": 376, ""centrality"": 0.41, ""connections"": 738, ""predicted_growth_3y"": 1051.8}, {""topic"": ""遗产"", ""heat"": 1072, ""growth"": 288, ""centrality"": 0.25","[{""topic"": ""tour"", ""heat"": 2403, ""growth"": 393, ""centrality"": 0.39, ""connections"": 702}, {""topic"": ""旅游"", ""heat"": 2478, ""growth"": 376, ""centrality"": 0.41, ""connections"": 738}, {""topic"": ""遗产"", ""heat"": 1072, ""growth"": 288, ""centrality"": 0.251, ""connections"": 451}, {""topic"": ""city"", ""heat"": 572, ""growth"
R5,T3,A先,"[{""topic"": ""tour"", ""heat"": 2800, ""growth"": 397, ""centrality"": 0.415, ""connections"": 775}, {""topic"": ""旅游"", ""heat"": 2828, ""growth"": 350, ""centrality"": 0.421, ""connections"": 785}, {""topic"": ""文化"", ""heat"": 1504, ""growth"": 182, ""centrality"": 0.327, ""connections"": 611}, {""topic"": ""nation"", ""heat"": 1295, ""g","[{""topic"": ""tour"", ""heat"": 2800, ""growth"": 397, ""centrality"": 0.415, ""connections"": 775, ""predicted_growth_3y"": 897.7}, {""topic"": ""文化"", ""heat"": 1504, ""growth"": 182, ""centrality"": 0.327, ""connections"": 611, ""predicted_growth_3y"": 465.1}, {""topic"": ""nation"", ""heat"": 1295, ""growth"": 158, ""centrality"": "
R5,T4,B先,"[{""topic"": ""nation"", ""heat"": 1572, ""growth"": 277, ""centrality"": 0.306, ""connections"": 592, ""predicted_growth_3y"": 523.4}, {""topic"": ""遗产"", ""heat"": 1351, ""growth"": 176, ""centrality"": 0.272, ""connections"": 527, ""predicted_growth_3y"": 440.8}, {""topic"": ""文化"", ""heat"": 1704, ""growth"": 200, ""centrality"": 0.","[{""topic"": ""nation"", ""heat"": 1572, ""growth"": 277, ""centrality"": 0.306, ""connections"": 592}, {""topic"": ""旅游"", ""heat"": 3031, ""growth"": 203, ""centrality"": 0.429, ""connections"": 831}, {""topic"": ""文化"", ""heat"": 1704, ""growth"": 200, ""centrality"": 0.348, ""connections"": 675}, {""topic"": ""遗产"", ""heat"": 1351, ""gro"
R5,T5,A先,"[{""topic"": ""旅游"", ""heat"": 3486, ""growth"": 455, ""centrality"": 0.451, ""connections"": 915}, {""topic"": ""tour"", ""heat"": 3300, ""growth"": 407, ""centrality"": 0.434, ""connections"": 882}, {""topic"": ""文化"", ""heat"": 2014, ""growth"": 310, ""centrality"": 0.361, ""connections"": 734}, {""topic"": ""nation"", ""heat"": 1855, ""g","[{""topic"": ""tour"", ""heat"": 3300, ""growth"": 407, ""centrality"": 0.434, ""connections"": 882, ""predicted_growth_3y"": 1111.8}, {""topic"": ""旅游"", ""heat"": 3486, ""growth"": 455, ""centrality"": 0.451, ""connections"": 915, ""predicted_growth_3y"": 531.1}, {""topic"": ""遗产"", ""heat"": 1587, ""growth"": 236, ""centrality"": 0.2"
R5,T6,B先,"[{""topic"": ""艺术"", ""heat"": 792, ""growth"": 126, ""centrality"": 0.212, ""connections"": 437, ""predicted_growth_3y"": 231.0}, {""topic"": ""数字"", ""heat"": 459, ""growth"": 137, ""centrality"": 0.133, ""connections"": 275, ""predicted_growth_3y"": 144.0}, {""topic"": ""text"", ""heat"": 502, ""growth"": 87, ""centrality"": 0.137, ""","[{""topic"": ""旅游"", ""heat"": 3831, ""growth"": 345, ""centrality"": 0.462, ""connections"": 953}, {""topic"": ""tour"", ""heat"": 3581, ""growth"": 281, ""centrality"": 0.443, ""connections"": 913}, {""topic"": ""文化"", ""heat"": 2264, ""growth"": 250, ""centrality"": 0.389, ""connections"": 802}, {""topic"": ""nation"", ""heat"": 2000, ""g"
R5,T7,A先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, ""","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": "
R5,T8,B先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": ","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, """
R5,T9,A先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, ""","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": "
R6,T1,B先,"[{""topic"": ""旅游"", ""heat"": 2102, ""growth"": 347, ""centrality"": 0.396, ""connections"": 663, ""predicted_growth_3y"": 330.7}, {""topic"": ""遗产"", ""heat"": 784, ""growth"": 188, ""centrality"": 0.211, ""connections"": 353, ""predicted_growth_3y"": 314.6}, {""topic"": ""tour"", ""heat"": 2010, ""growth"": 338, ""centrality"": 0.369","[{""topic"": ""旅游"", ""heat"": 2102, ""growth"": 347, ""centrality"": 0.396, ""connections"": 663}, {""topic"": ""tour"", ""heat"": 2010, ""growth"": 338, ""centrality"": 0.369, ""connections"": 618}, {""topic"": ""文化"", ""heat"": 1275, ""growth"": 225, ""centrality"": 0.319, ""connections"": 534}, {""topic"": ""world"", ""heat"": 466, ""gro"
R6,T2,A先,"[{""topic"": ""tour"", ""heat"": 2403, ""growth"": 393, ""centrality"": 0.39, ""connections"": 702}, {""topic"": ""旅游"", ""heat"": 2478, ""growth"": 376, ""centrality"": 0.41, ""connections"": 738}, {""topic"": ""遗产"", ""heat"": 1072, ""growth"": 288, ""centrality"": 0.251, ""connections"": 451}, {""topic"": ""city"", ""heat"": 572, ""growth","[{""topic"": ""tour"", ""heat"": 2403, ""growth"": 393, ""centrality"": 0.39, ""connections"": 702, ""predicted_growth_3y"": 1075.8}, {""topic"": ""旅游"", ""heat"": 2478, ""growth"": 376, ""centrality"": 0.41, ""connections"": 738, ""predicted_growth_3y"": 1051.8}, {""topic"": ""遗产"", ""heat"": 1072, ""growth"": 288, ""centrality"": 0.25"
R6,T3,B先,"[{""topic"": ""tour"", ""heat"": 2800, ""growth"": 397, ""centrality"": 0.415, ""connections"": 775, ""predicted_growth_3y"": 897.7}, {""topic"": ""文化"", ""heat"": 1504, ""growth"": 182, ""centrality"": 0.327, ""connections"": 611, ""predicted_growth_3y"": 465.1}, {""topic"": ""nation"", ""heat"": 1295, ""growth"": 158, ""centrality"": ","[{""topic"": ""tour"", ""heat"": 2800, ""growth"": 397, ""centrality"": 0.415, ""connections"": 775}, {""topic"": ""旅游"", ""heat"": 2828, ""growth"": 350, ""centrality"": 0.421, ""connections"": 785}, {""topic"": ""文化"", ""heat"": 1504, ""growth"": 182, ""centrality"": 0.327, ""connections"": 611}, {""topic"": ""nation"", ""heat"": 1295, ""g"
R6,T4,A先,"[{""topic"": ""nation"", ""heat"": 1572, ""growth"": 277, ""centrality"": 0.306, ""connections"": 592}, {""topic"": ""旅游"", ""heat"": 3031, ""growth"": 203, ""centrality"": 0.429, ""connections"": 831}, {""topic"": ""文化"", ""heat"": 1704, ""growth"": 200, ""centrality"": 0.348, ""connections"": 675}, {""topic"": ""遗产"", ""heat"": 1351, ""gro","[{""topic"": ""nation"", ""heat"": 1572, ""growth"": 277, ""centrality"": 0.306, ""connections"": 592, ""predicted_growth_3y"": 523.4}, {""topic"": ""遗产"", ""heat"": 1351, ""growth"": 176, ""centrality"": 0.272, ""connections"": 527, ""predicted_growth_3y"": 440.8}, {""topic"": ""文化"", ""heat"": 1704, ""growth"": 200, ""centrality"": 0."
R6,T5,B先,"[{""topic"": ""tour"", ""heat"": 3300, ""growth"": 407, ""centrality"": 0.434, ""connections"": 882, ""predicted_growth_3y"": 1111.8}, {""topic"": ""旅游"", ""heat"": 3486, ""growth"": 455, ""centrality"": 0.451, ""connections"": 915, ""predicted_growth_3y"": 531.1}, {""topic"": ""遗产"", ""heat"": 1587, ""growth"": 236, ""centrality"": 0.2","[{""topic"": ""旅游"", ""heat"": 3486, ""growth"": 455, ""centrality"": 0.451, ""connections"": 915}, {""topic"": ""tour"", ""heat"": 3300, ""growth"": 407, ""centrality"": 0.434, ""connections"": 882}, {""topic"": ""文化"", ""heat"": 2014, ""growth"": 310, ""centrality"": 0.361, ""connections"": 734}, {""topic"": ""nation"", ""heat"": 1855, ""g"
R6,T6,A先,"[{""topic"": ""旅游"", ""heat"": 3831, ""growth"": 345, ""centrality"": 0.462, ""connections"": 953}, {""topic"": ""tour"", ""heat"": 3581, ""growth"": 281, ""centrality"": 0.443, ""connections"": 913}, {""topic"": ""文化"", ""heat"": 2264, ""growth"": 250, ""centrality"": 0.389, ""connections"": 802}, {""topic"": ""nation"", ""heat"": 2000, ""g","[{""topic"": ""艺术"", ""heat"": 792, ""growth"": 126, ""centrality"": 0.212, ""connections"": 437, ""predicted_growth_3y"": 231.0}, {""topic"": ""数字"", ""heat"": 459, ""growth"": 137, ""centrality"": 0.133, ""connections"": 275, ""predicted_growth_3y"": 144.0}, {""topic"": ""text"", ""heat"": 502, ""growth"": 87, ""centrality"": 0.137, """
R6,T7,B先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": ","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, """
R6,T8,A先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, ""","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": "
R6,T9,B先,"[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015, ""predicted_growth_3y"": 1121.7}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740, ""predicted_growth_3y"": 722.3}, {""topic"": ""艺术"", ""heat"": 1020, ""growth"": 228, ""centrality"": ","[{""topic"": ""旅游"", ""heat"": 4242, ""growth"": 411, ""centrality"": 0.484, ""connections"": 1015}, {""topic"": ""nation"", ""heat"": 2316, ""growth"": 316, ""centrality"": 0.353, ""connections"": 740}, {""topic"": ""tour"", ""heat"": 3857, ""growth"": 276, ""centrality"": 0.456, ""connections"": 955}, {""topic"": ""文化"", ""heat"": 2521, """
