source,target,type
中国,10.62787/jmhm.v4i2.296,country_paper
美国,10.1108/978-1-83867-175-420211006,country_paper
沙特阿拉伯,10.1386/macp.13.1-2.39_1,country_paper
黎巴嫩,10.1177/002202217200300305,country_paper
中国,10.5220/0013990900004916,country_paper
中国,10.47611/jsrhs.v11i3.3743,country_paper
中国,10.5040/9798881815400.ch-005,country_paper
中国,10.4337/9781782549864.00029,country_paper
阿联酋,10.1163/026805502125827511,country_paper
中国,10.1017/9789048540075.007,country_paper
阿联酋,10.1023/a:1013802624142,country_paper
中国,10.2307/j.ctv15vwkcc.10,country_paper
阿联酋,10.1163/a:1013802624142,country_paper
叙利亚,10.1515/9780748696079-010,country_paper
伊拉克,10.4324/9781003348948-57,country_paper
中国,10.5117/9789462988033_ch06,country_paper
巴勒斯坦,10.4324/9781003348948-47,country_paper
阿曼,10.5353/th_b5793303,country_paper
巴勒斯坦,10.4324/9781315170657-76,country_paper
中国,10.26686/wgtn.17060441,country_paper
中国,10.5040/9798881815073.ch-12,country_paper
中国,10.5040/9798881815073.ch-13,country_paper
阿联酋,10.1080/09647775.2019.1683883,country_paper
美国,10.5040/9798216435396.ch-008,country_paper
中国,10.5040/9798881815073.ch-17,country_paper
摩洛哥,10.1177/1550190620978216,country_paper
中国,10.1080/19369816.2023.2283630,country_paper
中国,10.12677/cnc.2025.134097,country_paper
中国,10.1515/caas-2023-2006,country_paper
中国,10.1515/caas-2023-2001,country_paper
美国,10.1163/2468-1733_shafr_sim140160644,country_paper
美国,10.1163/2468-1733_shafr_sim220030014,country_paper
美国,10.4337/9781803926568.00025,country_paper
巴勒斯坦,10.4324/9780203499542-12,country_paper
法国,10.5040/9780755611676.ch-001,country_paper
中国,10.17265/2328-2134/2024.04.002,country_paper
中国,10.1080/10670564.2015.1013379,country_paper
巴勒斯坦,10.4324/9780203499542-17,country_paper
巴勒斯坦,10.4324/9780203499542-1,country_paper
巴勒斯坦,10.4324/9780203499542-4,country_paper
巴勒斯坦,10.1163/30505046-12340005,country_paper
巴勒斯坦,10.4324/9780203499542-18,country_paper
巴勒斯坦,10.4324/9780203499542-2,country_paper
土耳其,10.64903/arwg.1480-6800.17.3.223,country_paper
巴勒斯坦,10.4324/9780203499542-3,country_paper
叙利亚,10.5040/9780755608270.ch-005,country_paper
巴勒斯坦,10.4324/9780203499542-8,country_paper
叙利亚,10.5040/9780755658244.ch-8,country_paper
埃及,10.21608/ijhms.2022.429600,country_paper
摩洛哥,10.1111/j.1468-0033.1989.tb01351.x,country_paper
伊拉克,10.1111/j.2151-6952.2010.00073.x,country_paper
中国,10.5089/9781451968699.023.a008,country_paper
中国,10.1142/9789813278721_0010,country_paper
中国,10.2139/ssrn.4884443,country_paper
中国,10.5220/0013997400004912,country_paper
中国,10.1142/9789811200519_0002,country_paper
中国,10.1007/978-981-19-7165-5_14,country_paper
中国,10.1007/978-3-030-44425-9_11,country_paper
中国,10.1007/978-3-031-80400-7_16,country_paper
中国,10.2991/iccese-19.2019.110,country_paper
中国,10.1007/978-981-10-5921-6_4,country_paper
中国,10.1142/9789813278721_0012,country_paper
中国,10.1007/978-3-030-22289-5_10,country_paper
中国,10.55014/pij.v6i4.540,country_paper
阿曼,10.21832/9781845416690-013,country_paper
中国,10.4324/9781003029397-8,country_paper
阿曼,10.2307/jj.22730664.15,country_paper
中国,10.1016/j.ijid.2026.108615,country_paper
土耳其,10.4135/9789353885922.n9,country_paper
中国,10.18485/fb_bri_se.2019.ch9,country_paper
沙特阿拉伯,10.1515/caas-2023-2004,country_paper
中国,10.1142/s2377740019500143,country_paper
中国,10.20319/icssh.2024.300301,country_paper
伊朗,10.4324/9781003346111-4,country_paper
中国,10.3390/su16031086,country_paper
中国,10.7552/0-2-59,country_paper
中国,10.1051/shsconf/202214803015,country_paper
伊朗,10.5040/9780755616725.ch-017,country_paper
中国,10.3390/land14020435,country_paper
中国,10.14710/jirud.v9i1.37725,country_paper
中国,10.1332/policypress/9781447336693.003.0012,country_paper
埃及,10.1515/9780748693504-008,country_paper
中国,10.46692/9781447336709.012,country_paper
中国,10.2307/j.ctt22p7km9.18,country_paper
突尼斯,10.7312/masr17950-007,country_paper
中国,10.1016/j.chieco.2019.101311,country_paper
中国,10.1332/policypress/9781447336693.001.0001,country_paper
中国,10.4324/b22839-10,country_paper
中国,10.4324/9781003399865-14,country_paper
中国,10.4324/9781003399865-15,country_paper
中国,10.55014/pij.v6is1.292,country_paper
中国,10.1007/978-981-95-4853-8_2,country_paper
中国,10.4324/9781003399865-11,country_paper
中国,10.4324/9781003399865-16,country_paper
中国,10.5117/9789048557820/icas.2022.084,country_paper
中国,10.4324/9781003399865-27,country_paper
中国,10.4324/9781003399865-4,country_paper
中国,10.4324/9781003399865-23,country_paper
中国,10.4324/9781003399865-21,country_paper
中国,10.4324/9781003399865-18,country_paper
中国,10.4324/9781003399865-24,country_paper
中国,10.4324/9781003399865-8,country_paper
中国,10.4324/9781003399865-20,country_paper
中国,10.4324/9781003399865-10,country_paper
中国,10.4324/9781003399865-25,country_paper
中国,10.4324/9781003399865-13,country_paper
中国,10.4324/9781003399865-2,country_paper
中国,10.4324/9781003399865-9,country_paper
中国,10.4324/9781003399865,country_paper
中国,10.1007/978-981-15-9283-6_3,country_paper
中国,10.54691/bcpbm.v49i.5381,country_paper
中国,10.1007/978-981-95-4853-8_3,country_paper
中国,10.4324/9781003399865-28,country_paper
中国,10.47297/wspciwsp2516-252701.20200406,country_paper
中国,10.1007/978-981-95-4853-8_7,country_paper
土耳其,10.37547/social-fsshj-06-02-04,country_paper
中国,10.4324/b22839-2,country_paper
中国,10.4324/b22839-15,country_paper
中国,10.1007/978-981-95-4853-8_6,country_paper
中国,10.4324/b22839-16,country_paper
中国,10.4324/9780429201554-9,country_paper
土耳其,10.1007/978-3-319-27528-4_24,country_paper
中国,10.4324/9780429201554-8,country_paper
中国,10.1515/caas-2024-2001,country_paper
中国,10.1057/9781137045591.0014,country_paper
中国,10.1515/caas-2022-2016,country_paper
中国,10.1163/24683949-00202004,country_paper
中国,10.24833/2782-7062-2025-4-3-8-20,country_paper
美国,10.4324/9780203064610-16,country_paper
中国,10.1177/000944550604200202,country_paper
中国,10.5790/hongkong/9789888028450.003.0009,country_paper
中国,10.1057/9781137045591_7,country_paper
中国,10.1057/9781137045591_12,country_paper
中国,10.1057/9781137045591_11,country_paper
英国,10.4995/thesis/10251/201551,country_paper
英国,10.30892/gtg.574spl14-1367,country_paper
中国,10.4324/9781003401919-13,country_paper
中国,10.4324/9781003401919-8,country_paper
中国,10.4324/9781003401919-14,country_paper
中国,10.4324/9781003401919-7,country_paper
中国,10.4324/9781003401919-15,country_paper
中国,10.4324/9781003401919-3,country_paper
中国,10.1007/978-3-030-43399-4_16,country_paper
中国,10.4324/9781003401919-5,country_paper
中国,10.4324/9781003401919-4,country_paper
中国,10.4324/9781003401919-10,country_paper
中国,10.1007/978-3-030-43399-4_20,country_paper
中国,10.1007/978-3-030-43399-4_17,country_paper
中国,10.5040/9780755652372.ch-006,country_paper
中国,10.1007/978-3-030-43399-4_18,country_paper
法国,10.7591/cornell/9781501715877.003.0007,country_paper
摩洛哥,10.1080/17438730802707370,country_paper
中国,10.5040/9781978736405.ch-3,country_paper
中国,10.5040/9781978736405.ch-11,country_paper
中国,10.5771/9781498544061-25,country_paper
中国,10.5040/9781978736405.ch-13,country_paper
中国,10.5040/9781978736405.ch-9,country_paper
中国,10.5771/9781498544061-171,country_paper
中国,10.5040/9781978736405.ch-7,country_paper
中国,10.5771/9781498544061-195,country_paper
中国,10.5040/9781978736405.ch-10,country_paper
中国,10.5771/9781498544061-143,country_paper
中国,10.5771/9781498544061-109,country_paper
中国,10.5771/9781498544061-153,country_paper
中国,10.1163/15718085-12323033,country_paper
中国,10.1177/0009445518761078,country_paper
中国,10.5040/9781978736405.ch-12,country_paper
中国,10.4337/9781789907490.00008,country_paper
中国,10.5771/9781498544061,country_paper
中国,10.5040/9781978736405,country_paper
中国,10.5040/9781978736405.ch-1,country_paper
中国,10.4337/9781789907490.00013,country_paper
中国,10.1355/9789814620772-004,country_paper
中国,10.5771/9781498544061-179,country_paper
中国,10.5771/9781498544061-1,country_paper
中国,10.5040/9781978736405.0005,country_paper
中国,10.5771/9781498544061-203,country_paper
中国,10.5771/9781498544061-i,country_paper
中国,10.1007/978-981-10-5239-2_7,country_paper
中国,10.5040/9781978736405.ch-4,country_paper
中国,10.4324/9780429058585-3,country_paper
中国,10.5040/9781978736405.ch-2,country_paper
中国,10.1007/978-981-10-5972-8_13,country_paper
中国,10.5771/9781498544061-205,country_paper
中国,10.1007/978-981-10-5239-2_6,country_paper
中国,10.1007/978-981-33-4013-8_2,country_paper
中国,10.1007/978-981-32-9275-8_5,country_paper
中国,10.5771/9781498544061-13,country_paper
中国,10.5771/9781498544061-53,country_paper
中国,10.1007/978-981-10-5239-2_4,country_paper
中国,10.1007/978-981-32-9275-8_3,country_paper
中国,10.36253/rar-14355,country_paper
中国,10.1162/wopj.2009.25.4.152,country_paper
中国,10.4324/9781351134354-4,country_paper
中国,10.4324/9781351134354-7,country_paper
土耳其,10.32547/ataunigsed.663100,country_paper
中国,10.1057/9780230302075_1,country_paper
中国,10.4324/9781351134354-5,country_paper
中国,10.1057/9780230233652_2,country_paper
中国,10.4324/9781351134354-2,country_paper
中国,10.4324/9781351134354-11,country_paper
阿曼,10.1201/9780367823061-9,country_paper
中国,10.4324/9781003562849-16,country_paper
中国,10.1007/978-981-10-5915-5_8,country_paper
中国,10.22459/csy.04.2018.04c,country_paper
中国,10.4324/9781351134354-3,country_paper
约旦,10.1007/978-981-33-4161-6_5,country_paper
伊朗,10.1080/14759756.2026.2666603,country_paper
中国,10.1007/978-981-10-5972-8_2,country_paper
中国,10.1007/978-3-030-43399-4_11,country_paper
中国,10.1093/oso/9780198853022.003.0016,country_paper
中国,10.5040/9781350219120.ch-001,country_paper
英国,10.5334/srah.5,country_paper
中国,10.4324/9781351024945-7,country_paper
中国,10.1093/oso/9780198853022.003.0006,country_paper
中国,10.4324/9781351268929-1,country_paper
英国,10.18178/ijlll.2024.10.1.489,country_paper
法国,10.1515/9783110616804-006,country_paper
中国,10.1080/01495933.2020.1826843,country_paper
中国,10.18848/1835-4432/cgp/v02i01/40992,country_paper
中国,10.21832/9781783098064-004,country_paper
法国,10.1007/978-981-99-6969-2_1,country_paper
中国,10.59425/eabc.1757757600,country_paper
中国,10.1163/1570-6699_eall_eall_sim_0015,country_paper
中国,10.1163/2210-7363_ecll_com_00000020,country_paper
摩洛哥,10.4324/9780203037218-11,country_paper
美国,10.37134/sibawayh.vol5.2.4.2024,country_paper
中国,10.1080/14664208.2025.2603504,country_paper
苏丹,10.24252/jael.v3i1.39220,country_paper
中国,10.1007/bf02388531,country_paper
中国,10.1557/mrs.2019.141,country_paper
埃及,10.1596/24482,country_paper
中国,10.1080/10670569408724210,country_paper
中国,10.33495/jerr_v11i7.23.119,country_paper
约旦,10.4324/9781003143215-1,country_paper
中国,10.32674/jis.v3i2.510,country_paper
中国,10.2307/2756363,country_paper
黎巴嫩,10.7560/726918-006,country_paper
中国,10.2991/iceess-18.2018.56,country_paper
英国,10.59019/isop5275,country_paper
中国,10.1007/s44216-025-00055-7,country_paper
摩洛哥,10.1007/978-3-030-23467-6_2,country_paper
沙特阿拉伯,10.31235/osf.io/7b34j,country_paper
科威特,10.1163/15730255-bja10069,country_paper
摩洛哥,10.58466/ncrb1m45,country_paper
约旦,10.4324/9781003143215-6,country_paper
埃及,10.21608/asejaiqjsae.2023.320598,country_paper
摩洛哥,10.1007/978-3-030-23467-6_5,country_paper
沙特阿拉伯,10.38039/2214-4625.1062,country_paper
中国,10.5040/9781350454262.ch-007,country_paper
中国,10.31235/osf.io/t9pf5,country_paper
中国,10.24093/awej/vol9no2.17,country_paper
阿曼,10.4324/9781003174981-3,country_paper
黎巴嫩,10.4324/9781003174981-12,country_paper
摩洛哥,10.1515/9781400866434-001,country_paper
阿尔及利亚,10.31235/osf.io/zrypx,country_paper
沙特阿拉伯,10.31235/osf.io/4mkns,country_paper
阿曼,10.1007/978-981-99-6981-4_1,country_paper
中国,10.51198/chinesest2021.01.173,country_paper
埃及,10.1163/9789004346178_011,country_paper
沙特阿拉伯,10.24093/awej/vol10no1.6,country_paper
科威特,10.1163/9789004346178_013,country_paper
中国,10.24093/awej/vol12no1.16,country_paper
中国,10.1177/2212585x221089103,country_paper
阿曼,10.24093/awej/vol11no4.21,country_paper
约旦,10.24093/awej/vol6no2.19,country_paper
中国,10.1163/24683949-00102006,country_paper
中国,10.1017/cbo9781316257098.011,country_paper
美国,10.51925/inc,country_paper
中国,10.1017/9781316417805.009,country_paper
美国,10.51925/inc.v1i01,country_paper
美国,10.51925/inc.v3i02,country_paper
美国,10.51925/inc.v4i02,country_paper
美国,10.51925/inc.v2i01,country_paper
中国,10.1007/978-981-97-3678-2_10,country_paper
中国,10.1007/978-981-97-3678-2_18,country_paper
中国,10.5040/9781978734692.ch4,country_paper
中国,10.3390/rel10070417,country_paper
中国,10.1142/9789819801350_0011,country_paper
中国,10.5040/9781978734692.ch6,country_paper
中国,10.5040/9781978734692.ch1,country_paper
中国,10.1332/policypress/9781529238907.003.0008,country_paper
中国,10.5040/9781978734692.0006,country_paper
中国,10.5040/9781978734692,country_paper
中国,10.2307/jj.10354687.14,country_paper
中国,10.31826/9781463248321-006,country_paper
中国,10.31826/9781463248321,country_paper
中国,10.31826/9781463248321-004,country_paper
中国,10.31826/9781463248321-005,country_paper
中国,10.31826/9781463248321-008,country_paper
中国,10.31826/9781463248321-fm,country_paper
中国,10.31826/9781463248321-001,country_paper
中国,10.31826/9781463248321-009,country_paper
中国,10.31826/9781463248321-010,country_paper
叙利亚,10.1515/9781399536837-011,country_paper
中国,10.31826/9781463248321-002,country_paper
中国,10.31826/9781463248321-007,country_paper
中国,10.31826/9781463248321-toc,country_paper
中国,10.5539/ass.v8n15p267,country_paper
中国,10.31826/9781463248321-003,country_paper
法国,10.1080/13602004.2022.2051945,country_paper
中国,10.4324/9781032616353-9,country_paper
中国,10.4324/9781003142720-14,country_paper
中国,10.3366/9781399528702-015,country_paper
阿曼,10.1017/cbo9781107053809,country_paper
中国,10.1017/cbo9780511519994.007,country_paper
阿联酋,10.34660/inf.2022.53.58.068,country_paper
中国,10.1355/9789814459730-009,country_paper
中国,10.2307/j.ctt1jktrz7.6,country_paper
阿曼,10.1017/cbo9781107053809.012,country_paper
美国,10.1017/9781802701319.004,country_paper
法国,10.4324/9781315258744-9,country_paper
中国,10.1080/14649373.2025.2489895,country_paper
摩洛哥,10.1515/9781474459341-009,country_paper
中国,10.54664/mlze3414,country_paper
美国,10.2307/jj.4470337.6,country_paper
苏丹,10.3726/978-1-4539-1787-9/16,country_paper
卡塔尔,10.5339/qfarf.2012.ahp29,country_paper
卡塔尔,10.59890/ijarss.v2i7.2124,country_paper
沙特阿拉伯,10.5040/9780755656295.ch-007,country_paper
沙特阿拉伯,10.20944/preprints202501.1464.v1,country_paper
沙特阿拉伯,10.20944/preprints202501.1464.v2,country_paper
沙特阿拉伯,10.55677/ijhrsss/05-2025-vol02i7,country_paper
沙特阿拉伯,10.59141/jiss.v5i1.983,country_paper
沙特阿拉伯,10.21511/ppm.19(2).2021.23,country_paper
沙特阿拉伯,10.4324/9781351040020-4,country_paper
沙特阿拉伯,10.5430/elr.v14n1p21,country_paper
土耳其,10.33182/ipr.v3i1.3499,country_paper
沙特阿拉伯,10.3390/tourhosp7050145,country_paper
沙特阿拉伯,10.5040/9780755656295.ch-005,country_paper
沙特阿拉伯,10.3390/su18094438,country_paper
沙特阿拉伯,10.30573/ks--2021-dp06,country_paper
沙特阿拉伯,10.32996/jefas.2026.8.1.2,country_paper
沙特阿拉伯,10.4324/9781351040020-7,country_paper
沙特阿拉伯,10.4135/9781529755794,country_paper
沙特阿拉伯,10.5040/9780755656295.ch-006,country_paper
沙特阿拉伯,10.32996/ijllt.2024.7.12.21,country_paper
沙特阿拉伯,10.5040/9780755656295.0005,country_paper
沙特阿拉伯,10.3389/fsoc.2026.1761036,country_paper
沙特阿拉伯,10.2139/ssrn.5431754,country_paper
沙特阿拉伯,10.1007/978-3-319-67750-7_3,country_paper
沙特阿拉伯,10.63278/jicrcr.vi.3426,country_paper
沙特阿拉伯,10.20868/upm.thesis.82069,country_paper
沙特阿拉伯,10.53910/26531313-e2021812557,country_paper
沙特阿拉伯,10.5040/9781978733749-ch.006,country_paper
沙特阿拉伯,10.63908/tqr1g311,country_paper
沙特阿拉伯,10.2139/ssrn.4568849,country_paper
沙特阿拉伯,10.4324/9781351040020-5,country_paper
沙特阿拉伯,10.5539/ijbm.v20n5p211,country_paper
沙特阿拉伯,10.23889/suthesis.70554,country_paper
卡塔尔,10.2139/ssrn.4918733,country_paper
沙特阿拉伯,10.30573/ks--2021-dp016,country_paper
沙特阿拉伯,10.20944/preprints202507.1127.v1,country_paper
沙特阿拉伯,10.4324/9781351040020-6,country_paper
沙特阿拉伯,10.51659/josi.25.276,country_paper
沙特阿拉伯,10.37575/h/art/2177,country_paper
沙特阿拉伯,10.5040/9780755656295.0007,country_paper
沙特阿拉伯,10.59799/ypeo4019,country_paper
沙特阿拉伯,10.64628/ab.xqr9fc7sd,country_paper
沙特阿拉伯,10.3390/publications12040047,country_paper
沙特阿拉伯,10.2139/ssrn.5067847,country_paper
沙特阿拉伯,10.1017/9781316882801.008,country_paper
沙特阿拉伯,10.4324/9781351040020-3,country_paper
沙特阿拉伯,10.20849/jed.v2i3.526,country_paper
沙特阿拉伯,10.4324/9781351040020-1,country_paper
沙特阿拉伯,10.5040/9780755656295,country_paper
沙特阿拉伯,10.2139/ssrn.5249229,country_paper
沙特阿拉伯,10.31235/osf.io/u4tjz,country_paper
沙特阿拉伯,10.12794/metadc1752368,country_paper
沙特阿拉伯,10.30566/ijo-bs/2025.05.145,country_paper
沙特阿拉伯,10.4324/9781351040020,country_paper
沙特阿拉伯,10.5040/9780755656295.ch-009,country_paper
沙特阿拉伯,10.47722/imrj.2001.75,country_paper
沙特阿拉伯,10.30564/fls.v7i5.8738,country_paper
沙特阿拉伯,10.36227/techrxiv.173610627.74158003/v1,country_paper
沙特阿拉伯,10.4103/1658-6816.188080,country_paper
沙特阿拉伯,10.1038/s41598-025-32509-6,country_paper
沙特阿拉伯,10.5040/9780755656295.ch-003,country_paper
沙特阿拉伯,10.53910/26531313-e2021812572,country_paper
沙特阿拉伯,10.1080/13683500.2025.2533517,country_paper
沙特阿拉伯,10.21203/rs.3.rs-32291/v1,country_paper
沙特阿拉伯,10.12794/metadc2415927,country_paper
沙特阿拉伯,10.20944/preprints202409.1218.v1,country_paper
沙特阿拉伯,10.58587/18292437-2024.5-29,country_paper
沙特阿拉伯,10.2139/ssrn.6652901,country_paper
沙特阿拉伯,10.22394/1726-1139-2017-8-162-168,country_paper
沙特阿拉伯,10.23889/suthesis.70936,country_paper
沙特阿拉伯,10.5040/9780755656295.0006,country_paper
沙特阿拉伯,10.2139/ssrn.5464734,country_paper
沙特阿拉伯,10.4324/9781003660750-108,country_paper
沙特阿拉伯,10.2139/ssrn.2808611,country_paper
沙特阿拉伯,10.1159/000526361,country_paper
沙特阿拉伯,10.35308/jpp.v9i1.6294,country_paper
沙特阿拉伯,10.18623/rvd.v23.5861,country_paper
沙特阿拉伯,10.35741/issn.0258-2724.58.5.13,country_paper
沙特阿拉伯,10.1002/sd.70756,country_paper
阿联酋,10.51958/aaujbl2023v7i1p2,country_paper
沙特阿拉伯,10.4103/1319-3767.199119,country_paper
沙特阿拉伯,10.30573/ks--2020-mp03,country_paper
阿联酋,10.1177/13548166261468460,country_paper
法国,10.20961/cmes.18.2.106000,country_paper
阿联酋,10.15242/heaig.h0317447,country_paper
阿联酋,10.1007/978-981-15-6058-3_10,country_paper
阿联酋,10.54666/2334-003-001-020,country_paper
阿联酋,10.1108/oxan-es249946,country_paper
阿联酋,10.14451/1.244.561,country_paper
阿联酋,10.2139/ssrn.2406325,country_paper
阿联酋,10.3727/194344225x17315216888970,country_paper
阿联酋,10.15242/dirpub.uh1017105,country_paper
阿联酋,10.30892/gtg.40121-817,country_paper
阿联酋,10.2139/ssrn.5748182,country_paper
阿联酋,10.5040/9781978746664.ch-004,country_paper
阿联酋,10.51713/jotis.2025.5288,country_paper
阿联酋,10.1108/978-1-83797-837-320251030,country_paper
阿联酋,10.4324/9781003535690-29,country_paper
阿联酋,10.15242/dirpub.uh1017104,country_paper
中国,10.1080/19388160.2023.2169426,country_paper
阿联酋,10.20867/thm.29.4.17,country_paper
阿联酋,10.21608/ijhth.2020.120266,country_paper
阿联酋,10.7763/joebm.2015.v3.276,country_paper
阿联酋,10.1177/14673584241278451,country_paper
阿联酋,10.22364/rfr.36.18,country_paper
阿联酋,10.5296/rae.v11i4.16119,country_paper
阿联酋,10.7763/ijtef.2012.v3.243,country_paper
阿联酋,10.17265/2328-2169/2014.04.005,country_paper
阿联酋,10.21608/ijhth.2023.329408,country_paper
阿联酋,10.1108/oxan-es249830,country_paper
阿联酋,10.1080/13504851.2015.1078440,country_paper
阿联酋,10.21608/ijhth.2022.224853,country_paper
阿联酋,10.21608/jaauth.2008.68347,country_paper
阿联酋,10.34660/inf.2022.90.75.005,country_paper
卡塔尔,10.4324/9781315776576-9,country_paper
土耳其,10.51525/johti.997125,country_paper
卡塔尔,10.20867/tosee.04.19,country_paper
