source,target,weight
English,阿拉伯,58
Country,Nation,58
Construction,Reconstruction,57
Source,资源,57
旅游,款待,57
地方,旅游,57
Brand,Place,57
Generated,generated content,57
Outbound,Tour,57
知识,知识图谱,56
Graph,知识图谱,56
Search,文化,56
国家,旅游,56
文化,视角,56
交流,文化,56
Diplomacy,遗产,56
Land,Tour,56
Nation,nation branding,55
Industry,旅游,55
目的地,社会,55
文化,艺术,55
Maritime Silk,丝绸之路,55
Tour,中国,55
Outbound,旅游,55
Demand,学习,55
Effects,Effects Of,54
Branding,Nation Branding,54
City,Nation,54
Tour,地方,54
Recovery,旅游,54
Tour,阿拉伯,54
East,旅游,54
Nation,user generated,54
Language,语言模型,53
国家,文化,53
Capacity,City,53
目的地,社交媒体,53
Media,阿拉伯,53
Time,丝绸之路,53
Graph,阿拉伯,53
The Case Of,Tour,53
Brand,Place Branding,53
Brand,place branding,53
Networks,Works,52
Maritime Silk,Time,52
管理,遗产,52
保护,遗产,52
The Case Of,旅游,52
East,Tour,52
Factors,因素,51
Mental,环境,51
View,文学,51
Nation Branding,nation branding,51
Carrying Capacity,City,51
Carrying,Carrying Capacity,51
Demand,机器学习,51
Customer,风俗,50
Islam,伊斯兰,50
Call,Graph,50
Large,Large Language,49
Text,Tour,49
目的地,艺术,49
Power,旅游,49
Action,Tour,49
挑战,旅游,49
Unesco,遗产,49
Perception,Tour,49
Bibliometric,旅游,49
Chinese,Tour,49
Perception,Perceptions,48
Tour,经济,48
文化,遗产旅行,48
Rate,阿拉伯,48
Nation,遗产,48
Brand,目的地,48
Bibliometric,Tour,48
Circular,经济,47
Tour,可持续发展,47
Unesco,World,47
Sites,Tour,47
In Saudi,Saudi,47
Carrying,旅游,47
America,American,46
Guide,Guidelines,46
Conceptual,概念,46
Deep,学习,46
Resources,资源,46
Branding,nation branding,46
World,文化,46
传播,文化,46
Market,旅游,46
Media,文化,46
Call,阿拉伯,46
carrying capacity,旅游,46
Networks,Work,45
Present,Presentation,45
Market,Tour,45
Gene,Tour,45
旅游,案例研究,45
Maritime Silk,maritime silk,45
Interfaith,对话,45
Country,目的地,45
Gene,Nation,45
文献计量分析,旅游,45
度量分析,旅游,45
View,评述,44
Future Of,The Future Of,44
Language,Large,44
Practices,实践,44
Search,View,44
Chain,区块链,44
Experiences,经验,44
Relations,Relationship,44
Nation,影响,44
Short Video,Video,44
保存,文化,44
Saudi,愿景,44
分析,旅游,44
Generated,Nation,44
Large,语言模型,43
Large Language,语言模型,43
Language,Large Language,43
View,文献综述,43
Language,Text,43
Generated,Generated Content,43
Tour,款待,43
大数据,旅游,43
Machine,预测,43
Graph,文化,43
保存,遗产,43
Journal,阿拉伯,43
对话,文明,43
艺术,遗产,43
旅游,治理,43
Tour,治理,43
Gene,User-Generated Content,43
User-Generated Content,generated content,43
Rate,User-Generated Content,43
Content,User-Generated Content,43
Generated Content,User-Generated Content,43
Use Of,use of,42
Effects Of,效果,42
学习,深度学习,42
View,研究,42
East,middle east,42
Unesco,Unesco World,42
Religious,穆斯林,42
Tour,朝圣者,42
Journal,Journalism,42
Carrying,Tour,42
Tour,carrying capacity,42
Carrying Capacity,carrying capacity,42
Europe,European,41
Deep,深度学习,41
State,States,41
Tour,社会,41
Tour,国家,41
Tour,大数据,41
In The Middle East,The Middle East,41
East,In The Middle East,41
East,In The Middle,41
Recovery,Tour,41
In Saudi,阿拉伯,41
Diversification,旅游,41
旅游,朝圣者,41
Challenges,Opportunities,40
Source,Sources,40
Of Generative Ai,of generative,40
Content,Generated,40
发展,艺术,40
Middle East,middle east,40
Middle,middle east,40
旅游,社交媒体,40
文化,管理,40
Chinese,文化,40
In The Middle,The Middle East,40
Design,文化,40
Silk,Time,40
maritime silk,丝绸之路,40
Diversification,Tour,40
Rural,旅游,40
Industry,Tour,40
User-Generated Content,user generated,40
Capacity,Carrying,40
Capacity,carrying capacity,40
Demand,Machine,40
Reconstruction Of,reconstruction of,39
Mina,Nation,39
Formation,Transformation,39
可持续,文化,39
Change,Report,39
Report,report on,39
Report,Report On,39
Report On,report on,39
Tour,View,39
Text,文化,39
Formation,旅游,39
Nation,Perception,39
Virtual,元宇宙,39
游客,经验,39
Maritime Silk,Silk,39
Issue,旅游,39
Challenges,旅游,39
Tour,挑战,39
Religious,旅游,39
City,遗产旅行,39
Resources,Sources,38
Sources,资源,38
Rate,Strategic,38
Comparison,Comparison Of,38
Reality,增强现实,38
View,旅游,38
Image,Media,38
Middle East,The Middle East,38
Media,目的地,38
Photogrammetry,遗产,38
Role,旅游,38
教育,阿拉伯,38
Time,maritime silk,38
Rate,目的地,38
旅游,非斯,38
Sites,旅游,38
Unesco,旅游,38
Guide,Guideline,37
文学,文献综述,37
Impacts,影响,37
Marketing,Nation,37
全球,旅游,37
Action,旅游,37
Work,旅游,37
Reality,元宇宙,37
Front,Matter,37
Discourse,话语分析,37
文化,软实力,37
地方,遗产,37
Plan,旅游,37
可持续,遗产,37
Chinese,chinese outbound,37
Unesco World,World,37
Tour,文献计量分析,37
Tour,度量分析,37
Chinese,Outbound,37
Chinese,旅游,37
旅游,预测,37
Capacity,Carrying Capacity,37
Immersive,经验,37
Future Of,future of,36
Opportunities,挑战,36
Processing,流程,36
Real,旅游,36
文化,语境,36
Trends,旅游,36
Power,Tour,36
Site,文化,36
Real,元宇宙,36
Annual,Report,36
Annual Report,Report,36
Annual,Annual Report,36
Discourse,文化,36
教育,文化,36
Nation,阿拉伯,36
Report,交流,36
Belt,The Belt And,36
经验,遗产,36
Risk,遗产,36
Saudi,旅游,36
Middle East,Tour,36
Land,Landscape,35
Gene,of generative,35
Evolution,Revolution,35
Rate,战略,35
Text,Texts,35
Bibliometric,研究,35
Work,文化,35
Urban,旅游,35
Media,Tour,35
Gene,ai in,35
Tv Drama,tv drama,35
United,阿拉伯,35
In The Middle,In The Middle East,35
Interpretation,遗产,35
Arrangements,Report,35
Annual Report On,Report,35
Report,Restrictions,35
Arrangements,report on,35
Annual Report,Arrangements,35
Annual Report On,Arrangements,35
Arrangements,Report On,35
Arrangements,交流,35
Arrangements,Restrictions,35
Arrangements,Change,35
Annual,Arrangements,35
Annual Report,report on,35
Annual Report On,report on,35
report on,交流,35
Restrictions,report on,35
Change,report on,35
Annual,report on,35
Annual Report,Annual Report On,35
Annual Report,Report On,35
Annual Report,交流,35
Annual Report,Restrictions,35
Annual Report,Change,35
Annual Report On,Report On,35
Annual Report On,交流,35
Annual Report On,Restrictions,35
Annual Report On,Change,35
Annual,Annual Report On,35
Report On,交流,35
Report On,Restrictions,35
Change,Report On,35
Annual,Report On,35
Restrictions,交流,35
Annual,交流,35
Change,Restrictions,35
Annual,Restrictions,35
Annual,Change,35
Tour,案例研究,35
Perception,旅游,35
商品化,旅游,35
Photogrammetry,文化,35
Call,书法,35
Graph,书法,35
Class,分类,34
Language,学习,34
Bibliometric,文献计量分析,34
Bibliometric,度量分析,34
度量分析,研究,34
Augmented,Reality,34
Belt,Road,34
Exploring,旅游,34
Tour,Trends,34
应用,旅游,34
Middle,The Middle East,34
博物馆,文化,34
博物馆,数字,34
Issues,旅游,34
Tour,Unesco,34
Community-Based,旅游,34
Middle East,旅游,34
Tour,非斯,34
Conflict,Post,34
Outbound,chinese outbound,34
Tour,商品化,34
Reconstruction,Reconstruction Of,33
Reconstruction,reconstruction of,33
Large,large language,33
Systematic,View,33
Care,Healthcare,33
Bibliometric,Search,33
Real,增强现实,33
文献计量分析,研究,33
Impacts Of,影响,33
Gene,文化,33
文化,案例研究,33
Drama,Tv Drama,33
Drama,tv drama,33
Nation,World,33
丝绸之路,文化,33
对话,文化,33
Sites,World,33
Tour,Work,33
创新,旅游,33
Community-Based,Tour,33
Risk,文化,33
Immersive,遗产,33
Marketing,Video,33
Reviews,View,32
Role,The Role Of,32
Rate,研究,32
Nation,Relations,32
Gene,Of Generative Ai,32
Gene,Of Generative,32
Of Generative,of generative,32
Formation,Nation,32
City,艺术,32
Language,教育,32
Nation,研究,32
Content,Contents,32
Bali,全球,32
Augmented,Real,32
旅游,服务,32
Issue,Tour,32
Memory,Tour,32
Silk,maritime silk,32
学习,旅游,32
Community,艺术,32
Al Jazeera,Jazeera,32
Al Jazeera,al jazeera,32
Short,Video,32
Journalism,阿拉伯,32
知识,遗产,32
Tour,预测,32
书法,阿拉伯,32
大数据,预测,32
Integrated,Rate,31
Guideline,Guidelines,31
Overview,View,31
Construction,Construction Of,31
Role Of,The Role Of,31
The Role Of,role of,31
Product,Products,31
Networks,网络,31
Works,网络,31
View,应用,31
Of Generative,Of Generative Ai,31
Product,Production,31
Services,服务,31
Island,Land,31
West,Western,31
发展,研究,31
Rate,United,31
Diplomacy,博物馆,31
Maritime Silk,The Maritime Silk,31
The Maritime Silk,丝绸之路,31
Belt,文化,31
Tour,全球,31
Product,旅游,31
旅游,规划,31
Unesco World,遗产,31
原真性,遗产旅行,31
Comparative,旅游,31
Comparison,旅游,31
Chatbot,服务,31
Intangible,旅游,31
Functional,功能,30
The Future Of,future of,30
Agenda,研究,30
Construction Of,Reconstruction,30
Future,Future Of,30
应用,艺术,30
Augmented,增强现实,30
社会,阿拉伯,30
Role,目的地,30
Emirates,Rate,30
丝绸之路,遗产,30
研究,遗产,30
影响,目的地,30
Version,旅游,30
Chinese Outbound,chinese outbound,30
保护,文化,30
学习,阿拉伯,30
Indonesia,旅游,30
Tour,分析,30
Tour,Version,30
Colonial,旅游,30
Content,Generative Ai,30
保存,数字,30
Assessment Of,assessment of,29
Plan,Plant,29
View,艺术,29
Rate,社会,29
Perspectives,Perspectives On,29
Perspectives On,视角,29
分析,文献计量分析,29
分析,度量分析,29
文化,社会,29
Nation,视角,29
Role Of,旅游,29
role of,旅游,29
Chinese,Of Chinese,29
In The Middle East,Middle East,29
In The Middle,Middle East,29
The Maritime Silk,Time,29
Search,遗产,29
Plan,Tour,29
Challenges,Tour,29
教育,旅游,29
Religious,Tour,29
Conflict,旅游,29
Brand,Nation Branding,29
Colonial,Tour,29
Conflict,Post-Conflict,29
Post,Post-Conflict,29
Discourse,文明,29
The Use Of,Use Of,28
Construction Of,Reconstruction Of,28
Construction Of,reconstruction of,28
Action,交互,28
Future,future of,28
View,文化,28
State,state of,28
全球,全球化,28
应用,文化,28
Nation,中国,28
效果,旅游,28
元宇宙,旅游,28
Perspectives,旅游,28
Developing,旅游,28
English,Language,28
City,City Of,28
Generative Ai,Of Generative,28
Generative Ai,of generative,28
Generative Ai,ai in,28
Issues,Tour,28
Brand,Tour,28
Protection,文化,28
Work,遗产,28
政策,文化,28
City,目的地,28
可持续发展,遗产,28
Intangible,Tour,28
Chatbot,ai chatbot,28
text mining,旅游,28
Capacity,Tour,28
元宇宙,虚拟现实,28
Recommendation,Recommendations,27
Nation,分析,27
数字,研究,27
Systematic,系统综述,27
Events,事件,27
In The Middle,Middle,27
影响,文化,27
Historic,Historical,27
Nation,效果,27
Marketing,目的地,27
Power,中国,27
Soft,中国,27
Tour,应用,27
Generative Ai,Of Generative Ai,27
Emirates,United,27
Emirates,阿拉伯,27
Diplomacy,Public,27
Intangible,Of Intangible,27
Design,遗产,27
Role,Tour,27
Brand,旅游,27
Chinese,Chinese Outbound,27
Rural,Tour,27
Chain,文化,27
Text Mining,旅游,27
Capacity,旅游,27
The Use Of,use of,26
Material,Materials,26
Large Language,large language,26
Labor,协作,26
Nation,地方,26
Challenges,Challenges Of,26
Action,文化,26
Change,Rate,26
Bali,全球化,26
Real,Tour,26
Formation,Tour,26
Belt,倡议,26
Road,倡议,26
Marketing,Rate,26
Public,文化,26
Construction Of,construction of,26
Role,社会,26
In The Middle East,Middle,26
Document,Documentary,26
发展,阿拉伯,26
丝绸之路,旅游,26
发展,目的地,26
Product,Tour,26
Memory,旅游,26
Site,Unesco,26
Conflict,Tour,26
Brand,nation branding,26
文化,游客,26
Generated,目的地,26
Rate,User Generated Content,26
Carrying Capacity,Tour,26
Immersive,文化,26
Report,Reporting,25
Work,研究,25
As An,as an,25
Resources,Source,25
Models,语言模型,25
Language,Models,25
Problem,Problems,25
Change,Climate,25
Text,阿拉伯,25
Challenges Of,挑战,25
Role,文化,25
全球,文化,25
Student,Students,25
Note,Notes,25
Image,社会,25
Nation,智慧旅行,25
Cities,旅游,25
旅游,框架,25
Gene,User,25
愿景,阿拉伯,25
Diplomacy,阿拉伯,25
Image,麦加,25
Diplomacy,Diplomacy In,25
Of Intangible,文化,25
Public,公共外交,25
Diplomacy,公共外交,25
发展,遗产旅行,25
Road,Time,25
The Maritime Silk,maritime silk,25
Unesco,unesco world,25
In Saudi,旅游,25
Evidence,旅游,25
Community,Community-Based,25
Middle,Tour,25
Crowd,管理,25
Mapping,Tour,25
Nation,generated content,25
Rate,遗产,25
商品化,遗产,25
Overview,overview of,24
塔巴,数据库,24
Concepts,概念,24
Tools,工具,24
large language,语言模型,24
研究,视角,24
Future,The Future Of,24
State,State Of,24
Region,区域,24
Action,Satisfaction,24
Ai Chatbot,Chatbot,24
Enterprise,Rise,24
East,Eastern,24
Virtual,旅游,24
发展,经济,24
Product,文化,24
旅游,概念,24
Rate,发展,24
Belt,一带一路,24
Image,社交媒体,24
Perception,Perceptions Of,24
Design,旅游,24
Real,文化,24
Search,发展,24
Rate,User,24
User,user generated,24
Change,中国,24
Change,阿拉伯,24
发展,可持续旅行,24
Tour,规划,24
Exploring,Tour,24
Maritime Silk,Road,24
Road,maritime silk,24
World,unesco world,24
Island,旅游,24
朝圣者,麦加,24
Chinese Outbound,Outbound,24
Comparison,Tour,24
Content,Nation,24
Short,Short Video,24
Ai Chatbot,ai chatbot,24
user generated,目的地,24
Carrying Capacity,旅游,24
Difficult,遗产,24
Marketing,Short,24
系统综述,评述,23
Assessment,Assessment Of,23
Formation,数字,23
Language,large language,23
Technologies,数字,23
Rethinking,Thinking,23
Area,Areas,23
Reality,旅游,23
Effective,效果,23
Tour,Urban,23
应用,遗产,23
可持续发展,文化,23
文化,跨文化,23
可持续,艺术,23
Colonial,Post,23
3d scanning,Scanning,23
Land,文化,23
Place,旅游,23
旅游,游客,23
中国,交流,23
Role,社交媒体,23
展览,文化,23
Silk,The Maritime Silk,23
Road,文化,23
国家,阿拉伯,23
Road,Tour,23
事件,旅游,23
Tour,事件,23
发展,地方,23
中国,遗产,23
旅游,认同,23
Protection,遗产,23
Unesco World,unesco world,23
unesco world,遗产,23
Confucius,孔子学院,23
Nation,Post,23
Developing,Tour,23
Tour,创新,23
Cities,Tour,23
Influence,Nation,23
Tour,学习,23
Middle,旅游,23
Village,旅游,23
Image,修复,23
Coverage Of,Jazeera,23
Coverage,Jazeera,23
Video,旅游,23
Community,文化,23
技术,遗产,23
Chain,遗产,23
智慧旅行,目的地,23
区块链,文化,23
Rate,Work,22
Covid-19 Pandemic,Pandemic,22
State Of,state of,22
Work,艺术,22
Effects Of,effects of,22
Effects,effects of,22
Monitor,Monitoring,22
文化,认同,22
Nation,Search,22
City,发展,22
Search,度量分析,22
World,发展,22
Site,发展,22
Africa,East,22
Chinese,of chinese,22
Tour,服务,22
Competitive,Competitiveness,22
实践,旅游,22
中国,阿拉伯,22
Present,文化,22
Studies,文化,22
Student,阿拉伯,22
Spring,阿拉伯,22
Technologies,文化,22
The Middle East,middle east,22
地方,文化,22
Generated,User,22
国际,文化,22
Action,Nation,22
文化,目的地,22
In Rural,Rural,22
English,旅游,22
Branding,旅游,22
Nation,Site,22
Institute,孔子学院,22
Confucius,Institute,22
Nation,经验,22
Path,旅游,22
旅游,机器学习,22
Indonesia,Tour,22
Future,旅游,22
Future,Tour,22
Perception,目的地,22
Image Of,image of,22
Graph,旅游,22
English,Tour,22
Tour,保护,22
The Middle East,Tour,22
Perception,Perception Of,22
Coverage,al jazeera,22
文化,知识图谱,22
Demand,旅游,22
Demand,Tour,22
Tour,text mining,22
保护,旅游,22
User Generated Content,user generated,22
Colonial,Memory,22
Scanning,文化,22
Generative Ai,旅游,22
区块链,遗产,22
Bibliometric,View,21
Algorithms,算法,21
Agenda,Search,21
Human,of human,21
Assessment,assessment of,21
Trends In,trends in,21
学习,教育,21
Gene,教育,21
Graph,Graphrag,21
Applications In,应用,21
Nation,Work,21
Place,Places,21
Virtual,增强现实,21
分析,研究,21
Trends,trends in,21
治理,艺术,21
Land,Nation,21
Rate,交流,21
Road,一带一路,21
Perception,perceptions of,21
Perceptions Of,perceptions of,21
旅游,语境,21
Area,旅游,21
Virtual,文化,21
Design,Tour,21
Film,文化,21
交流,阿拉伯,21
Front,Frontmatter,21
Frontmatter,Matter,21
Narrative,Narratives,21
Public,阿拉伯,21
Israel,阿拉伯,21
发展,视角,21
Diplomacy,diplomacy in,21
Nation,Place,21
文化,资源,21
Road,旅游,21
Tour,丝绸之路,21
Rural,in rural,21
In Rural,in rural,21
Time,文化,21
South,旅游,21
Case Study Of,案例研究,21
Nation,Role Of,21
Mining,Tour,21
Tour,教育,21
Sport,旅游,21
Tour,效果,21
Tour,Visit,21
Mapping,旅游,21
Assessment,文化,21
Search,文献计量分析,21
Gene,User Generated Content,21
User Generated Content,generated content,21
User,generated content,21
Content,User,21
Marketing,Short Video,21
Implementation,Implementation Of,20
学习,文化,20
Construction,Reconstruction Of,20
Construction,reconstruction of,20
Challenges,应用,20
应用,挑战,20
Nation,管理,20
Present,Representation,20
Presentation,Representation,20
Gene,艺术,20
Large,Models,20
Dynamic,动力学,20
研究,艺术,20
Rate,社交媒体,20
Comparison Of,comparison of,20
Comparison,comparison of,20
View,学习,20
Text,Textual,20
Rate,影响,20
Rate,Search,20
Gene,挑战,20
Care,Health,20
effects of,效果,20
Role,发展,20
Tour,概念,20
Road,中国,20
Africa,In Africa,20
Nation,Text,20
Diplomacy,Nation,20
中国,软实力,20
Content,旅游,20
发展,国家,20
Nation,旅行,20
Tour,社交媒体,20
Tour,元宇宙,20
文化,框架,20
Potential,旅游,20
Change,Tour,20
Values,价值,20
Document,文化,20
Language,文化,20
Diplomacy In,diplomacy in,20
Silk,遗产,20
Content,文化,20
丝绸之路,中国,20
Branding,Tour,20
Africa,旅游,20
Design,Design Of,20
Islam,文明,20
Saudi,Tour,20
Critical,Discourse,20
Nation,role of,20
Island,Tour,20
Nation,游客,20
Mediating Role,Role,20
Influence,目的地,20
Graph,Tour,20
The Middle East,旅游,20
Tour,Village,20
Customer,服务,20
Tour,Virtual,20
Comparison Of,旅游,20
Comparison,发展,20
Generated Content,Nation,20
Laser,Scanning,20
Content,generative ai,20
Disaster,遗产,20
文化,话语分析,20
Generated Content,User,20
Guide,管理,19
Nation,Plan,19
Mental,View,19
Gene,General,19
Search,Work,19
Search,数字,19
Making,decision making,19
Models,large language,19
Rate,数字,19
Comparative,分析,19
Infrastructure,结构,19
影响,社会,19
Relations,国家,19
Chain,Supply,19
Challenges,Gene,19
Overview,an overview,19
Image,Images,19
Approaches To,approaches to,19
Higher,教育,19
数字,经济,19
Solution,Solutions,19
Opportunities,旅游,19
generative ai,of generative,19
Tour,技术,19
Asia,Asian,19
中国,发展,19
Protection,Protection Of,19
Land,发展,19
Perceptions,Perceptions Of,19
Scanning,遗产,19
Rate,Text,19
Public,旅游,19
Change,旅游,19
Construction,数字,19
Perspectives,文化,19
Challenges,文化,19
Bibliography,Graph,19
Document,遗产,19
Image,文化,19
Of Chinese,of chinese,19
Relations,文化,19
Change,Student,19
The Belt And,倡议,19
Politics,旅游,19
Silk,中国,19
Mental,旅游,19
对话,阿拉伯,19
Strategies,旅游,19
Age Of,遗产,19
Tour,认同,19
案例研究,遗产,19
Of World,of world,19
Confucian,对话,19
Future Of,旅游,19
Tour,埃及,19
Place,Tour,19
Nation,The Case Of,19
游客,目的地,19
Marketing,Marketing In,19
目的地,经验,19
Country,Image,19
Comparative,Tour,19
Image,Rate,19
Image,Image Of,19
Africa,north africa,19
Studies,旅游,19
In The Middle East,Tour,19
Short,旅游,19
服务,风俗,19
Tour,chinese outbound,19
Chinese Outbound,Tour,19
Coverage Of,al jazeera,19
ai in,generative ai,19
Generated Content,User Generated Content,19
Content,User Generated Content,19
Generated,User Generated Content,19
City,Site,19
Dark,Site,19
Reconstruction,数字,19
Generative Ai,Tour,19
Tour,generative ai,19
Scanning,laser scanning,19
Laser,laser scanning,19
Media,Rate,18
Soft,Software,18
Rate,管理,18
Design,Designing,18
学习,应用,18
Gene,Image,18
Decision,decision making,18
Decision,Making,18
View,Work,18
教育,艺术,18
Evolution,Evolution Of,18
Interpretation,interpretation of,18
研究,社会,18
Revisit,Visit,18
实践,文化,18
High,Higher,18
Chain,Supply Chain,18
Mean,Means,18
Ecosystem,服务,18
An Overview Of,Overview,18
An Overview Of,overview of,18
Rate,艺术,18
Augmented,Virtual,18
Impacts,Impacts Of,18
Cities,艺术,18
Trends,Trends In,18
Media,Mediation,18
Africa,African,18
Urban,遗产,18
Path,文化,18
Of Generative Ai,generative ai,18
信息,旅游,18
技术,旅游,18
Politics,politics of,18
Politics,Politics Of,18
Marketing,社会,18
Marketing,社交媒体,18
Marketing,Media,18
Perceptions,perceptions of,18
Branding,目的地,18
3D Scanning,Scanning,18
3D Scanning,3d scanning,18
Tour,语境,18
Implications,旅游,18
Perspectives,Tour,18
Tour,实践,18
Rate,Video,18
English,Text,18
挑战,文化,18
价值,文化,18
The Case Of,文化,18
Islam,阿拉伯,18
中国,数字,18
Nation,认同,18
Interpretation,文化,18
The Construction Of,construction of,18
Change,Nation,18
Student,交流,18
Politics,Tour,18
Countries,旅游,18
Site,Unesco World,18
World,of world,18
Gene,遗产,18
critical discourse,话语分析,18
Critical,critical discourse,18
Critical,话语分析,18
Role Of,Tour,18
Tour,role of,18
卡塔尔,旅游,18
Tour,卡塔尔,18
Post,Recovery,18
Nation,Relationship,18
Intention,Nation,18
Intention,目的地,18
Nation,image of,18
East,north africa,18
Community,发展,18
Version,阿拉伯,18
Post-Conflict,旅游,18
Gene,目的地,18
文化,非斯,18
Exploring,Gene,18
Content In,Rate,18
Sites,文化,18
Ethics,Gene,18
generative ai,旅游,18
Chatbot,旅游,18
框架,研究,17
Large,Of Large,17
Introduction,introduction to,17
Formation,研究,17
Intelligence,intelligence in,17
Gene,研究,17
Rate,传播,17
艺术,阿拉伯,17
Site,Visit,17
管理,艺术,17
Relations,国际,17
Formation,社会,17
Supply,Supply Chain,17
Power,power of,17
Rate,框架,17
Import,Importance,17
Response,Responses,17
Rate,View,17
Sentiment,情感分析,17
Determinants Of,determinants of,17
挑战,阿拉伯,17
Rate,Role,17
传播,旅游,17
Diplomacy,中国,17
一带一路,倡议,17
Israel,Israeli,17
Influencing,因素,17
Factors,Influencing,17
知识,研究,17
Nation,传播,17
Site,遗产旅行,17
Experiences,Tour,17
South,South Africa,17
Countries,阿拉伯,17
Students,阿拉伯,17
社交媒体,阿拉伯,17
国家,遗产,17
Road,The Belt And,17
文化,文明,17
Introduction,旅游,17
影响,遗产,17
English,English Version,17
English Version,english version,17
Maritime Silk,文化,17
Maritime,Time,17
Unesco,文化,17
World,地方,17
Present,遗产,17
Graph,遗产,17
Path,Tour,17
Soft,旅游,17
Critical Discourse,critical discourse,17
Mining,旅游,17
Nation,原真性,17
Exploring,Nation,17
Nation,The Influence Of,17
Country,country image,17
Image,image of,17
Age Of,image of,17
Country,by country,17
In The Middle East,旅游,17
Crisis,East,17
In The Middle,Tour,17
Park,旅游,17
Life,旅游,17
Perception,perception of,17
Perception Of,perception of,17
chinese outbound,旅游,17
Recommendation,Tour,17
